tipo_celular,module_size,RNF19A_MM,RNF19A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.177,33.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52),1.33,5.50
T cells 18,518,0.225,86.0,131,3,2.29,4.23 (2.81-5.64),128,97.71,3.05 (2.78-3.33),1.97,4.82
astrocytes 5,423,0.129,34.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,200,0.258,80.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,599,0.267,75.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,300,0.111,4.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08),1.89,2.51
da like neurons 11,197,0.267,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,70,0.158,37.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,658,0.225,59.0,120,4,3.33,3.01 (2.78-3.24),116,96.67,4.67 (4.35-4.99),3.80,3.65
oligodendrocytes 20,322,0.101,39.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052,0.142,53.0,125,11,8.8,3.74 (3.12-4.37),114,91.2,3.33 (2.99-3.67),4.59,9.00
astrocytes 8,279,0.349,87.0,78,2,2.56,1.93 (1.64-2.21),76,97.44,4.39 (3.97-4.80),2.79,2.71
oligodendrocyte progenitor cells 12,3303,0.104,78.0,276,50,18.12,2.84 (2.44-3.24),226,81.88,3.72 (3.47-3.96),8.52,4.36
oligodendrocytes 10,2107,0.075,15.0,358,63,17.6,2.52 (2.14-2.89),295,82.4,4.20 (4.01-4.40),17.35,7.79
connective tissue cells 21,116,0.176,2.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,268,0.271,87.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81),1.41,1.61
oligodendrocytes 16,90,0.21,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.068,6.0,122,19,15.57,2.65 (2.03-3.27),103,84.43,4.33 (3.90-4.77),3.29,3.52
astrocytes microglia 23,101,0.212,1.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.23,70.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92),3.10,4.71
oligodendrocytes 0,2078,0.131,83.0,238,24,10.08,3.43 (2.87-3.99),214,89.92,3.66 (3.42-3.89),5.55,4.96
microglia 1,958,0.099,31.0,290,16,5.52,2.44 (1.80-3.08),274,94.48,3.92 (3.68-4.15),5.59,4.97
oligodendrocytes 3,94,0.123,62.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,921,0.124,29.0,200,4,2.0,2.88 (1.96-3.80),196,98.0,3.64 (3.37-3.91),6.57,3.40
