tipo_celular,module_size,PURA_MM,PURA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.214,55.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,388,0.06,5.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40),2.22,4.54
astrocytes 5,1141,0.112,24.0,166,30,18.07,2.15 (1.74-2.55),136,81.93,3.74 (3.47-4.01),4.34,4.60
oligodendrocyte progenitor cells 7,4285,0.103,11.0,353,49,13.88,1.94 (1.65-2.22),304,86.12,4.32 (4.14-4.49),18.27,6.42
GABA neurons expressing GLU receptors 22,848,0.334,82.0,262,9,3.44,1.36 (0.61-2.10),253,96.56,4.27 (4.03-4.51),5.19,4.07
GLU like neurons 17,1316,0.152,74.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.149,37.0,410,2,0.49,1.88 (-0.73-4.50),408,99.51,4.26 (4.08-4.45),18.57,7.46
GABA neurons expressing GABA receptors 13,238,0.259,86.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,559,0.123,35.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,275,0.154,33.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.299,66.0,455,16,3.52,1.10 (0.72-1.48),439,96.48,4.51 (4.33-4.68),24.53,8.26
astrocytes 8,520,0.085,34.0,288,2,0.69,1.88 (-0.73-4.50),286,99.31,4.19 (3.99-4.39),4.81,4.68
oligodendrocyte progenitor cells 12,3303,0.081,53.0,276,35,12.68,1.88 (1.62-2.14),241,87.32,3.87 (3.65-4.10),6.98,4.84
oligodendrocytes 10,806,0.192,61.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,126,0.264,39.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74),2.15,1.68
astrocytes 15,1768,0.099,62.0,105,17,16.19,1.51 (1.14-1.88),88,83.81,3.57 (3.22-3.93),5.22,3.74
oligodendrocytes 16,121,0.188,30.0,3,1,33.33,4.47 (NA-NA),2,66.67,2.17 (1.28-3.06),1.49,2.40
da neurons 6,553,0.275,95.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,107,0.308,49.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA),NA,2.49
astrocytes 4,787,0.17,82.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.183,81.0,127,16,12.6,2.25 (1.75-2.76),111,87.4,3.22 (2.74-3.70),2.79,6.78
microglia 1,1615,0.095,28.0,161,44,27.33,1.98 (1.64-2.33),117,72.67,3.92 (3.64-4.20),7.67,4.59
oligodendrocytes 3,681,0.101,57.0,87,45,51.72,2.30 (1.96-2.64),42,48.28,2.91 (2.50-3.32),4.15,4.34
oligodendrocytes 2,921,0.165,89.0,200,5,2.5,3.29 (2.05-4.53),195,97.5,3.63 (3.36-3.90),4.80,3.43
