tipo_celular,module_size,STAU2_MM,STAU2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.132,7.0,21,5,23.81,1.35 (0.15-2.55),16,76.19,2.62 (1.94-3.30),2.51,1.85
T cells 18,727,0.116,29.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141,0.104,17.0,166,5,3.01,0.97 (0.29-1.66),161,96.99,3.46 (3.21-3.71),3.51,4.58
oligodendrocyte progenitor cells 7,4285,0.169,93.0,353,26,7.37,2.30 (1.61-2.99),327,92.63,4.03 (3.84-4.21),19.24,7.18
GABA neurons expressing GLU receptors 22,714,0.254,82.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,300,0.139,14.0,16,2,12.5,NA,14,87.5,2.08 (1.23-2.93),1.85,2.56
da like neurons 11,197,0.409,94.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266,0.147,43.0,118,3,2.54,3.76 (1.76-5.77),115,97.46,4.76 (4.40-5.12),3.19,4.01
endothelial cells 9,658,0.274,71.0,120,5,4.17,2.57 (2.19-2.94),115,95.83,4.71 (4.39-5.03),3.08,3.68
oligodendrocytes 20,221,0.188,46.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,1300,0.217,55.0,306,21,6.86,3.43 (2.46-4.40),285,93.14,5.26 (5.00-5.52),9.80,6.48
astrocytes 8,727,0.087,36.0,29,1,3.45,NA,28,96.55,2.37 (1.87-2.86),1.39,3.62
oligodendrocyte progenitor cells 12,3303,0.14,97.0,276,19,6.88,2.51 (1.84-3.19),257,93.12,3.62 (3.40-3.85),7.44,4.94
oligodendrocytes 10,806,0.098,25.0,261,13,4.98,4.38 (2.94-5.81),248,95.02,4.36 (4.12-4.61),6.32,6.05
connective tissue cells 21,118,0.294,51.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,208,0.042,18.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,121,0.187,28.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,553,0.112,37.0,124,6,4.84,3.76 (2.10-5.42),118,95.16,4.21 (3.80-4.61),3.45,3.01
astrocytes microglia 23,255,0.273,63.0,57,3,5.26,2.74 (2.51-2.97),54,94.74,2.65 (2.26-3.03),2.26,3.39
astrocytes 4,752,0.149,44.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.34 (3.00-3.67),2.74,4.35
oligodendrocytes 0,1186,0.12,16.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,1615,0.13,77.0,161,11,6.83,1.18 (0.61-1.75),150,93.17,3.46 (3.20-3.73),10.10,5.09
oligodendrocytes 3,681,0.072,28.0,87,4,4.6,1.41 (0.82-2.00),83,95.4,2.64 (2.37-2.92),2.44,4.33
oligodendrocytes 2,921,0.127,33.0,200,9,4.5,3.40 (2.02-4.77),191,95.5,3.63 (3.36-3.90),6.22,3.33
