tipo_celular,module_size,CCSER2_MM,CCSER2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.15,50.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,388,0.104,21.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1141,0.135,56.0,166,4,2.41,0.97 (0.29-1.66),162,97.59,3.46 (3.21-3.71),3.47,4.58
oligodendrocyte progenitor cells 7,448,0.17,72.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,400,0.223,65.0,24,3,12.5,0.35 (0.26-0.44),21,87.5,2.41 (1.93-2.90),6.58,3.15
GLU like neurons 17,380,0.154,37.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,172,0.385,90.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,266,0.243,85.0,118,2,1.69,NA,116,98.31,4.74 (4.38-5.09),7.15,3.94
endothelial cells 9,658,0.179,40.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92),NA,3.65
oligodendrocytes 20,271,0.141,35.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,1300,0.148,23.0,306,7,2.29,2.41 (1.07-3.76),299,97.71,5.17 (4.91-5.43),6.76,6.71
astrocytes 8,771,0.04,6.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,103,0.402,24.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,806,0.087,22.0,261,7,2.68,4.54 (4.12-4.97),254,97.32,4.36 (4.11-4.61),6.59,6.05
connective tissue cells 21,103,0.186,3.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,443,0.11,18.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,64,0.176,40.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,553,0.187,81.0,124,4,3.23,2.29 (-1.40-5.98),120,96.77,4.23 (3.83-4.62),3.44,3.02
astrocytes microglia 23,253,0.299,79.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,752,0.17,74.0,96,4,4.17,3.21 (1.34-5.09),92,95.83,3.29 (2.96-3.63),2.27,4.41
oligodendrocytes 0,187,0.19,60.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,813,0.083,10.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,187,0.128,64.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,804,0.102,5.0,84,6,7.14,2.46 (1.12-3.80),78,92.86,2.71 (2.36-3.06),2.41,3.47
