tipo_celular,module_size,MBNL1_MM,MBNL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.137,19.0,140,9,6.43,3.62 (2.97-4.27),131,93.57,4.63 (4.33-4.93),5.35,3.42
T cells 18,388,0.386,97.0,84,2,2.38,2.29 (2.26-2.32),82,97.62,2.99 (2.66-3.33),1.86,4.38
astrocytes 5,118,0.184,20.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,229,0.061,4.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,192,0.183,74.0,55,4,7.27,2.04 (1.63-2.44),51,92.73,4.21 (3.79-4.62),1.65,3.46
GLU like neurons 17,637,0.219,69.0,91,13,14.29,1.80 (0.89-2.71),78,85.71,5.19 (4.73-5.66),3.09,3.05
da like neurons 11,289,0.351,97.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,88,0.237,89.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,412,0.209,63.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25),7.11,6.81
oligodendrocytes 20,676,0.465,75.0,110,8,7.27,3.00 (1.72-4.29),102,92.73,5.22 (4.77-5.67),3.18,3.55
GABA like neurons 14,1300,0.2,47.0,306,15,4.9,2.73 (1.96-3.50),291,95.1,5.28 (5.02-5.54),10.10,6.53
astrocytes 8,279,0.256,42.0,78,5,6.41,3.56 (2.50-4.62),73,93.59,4.38 (3.94-4.81),3.57,2.65
oligodendrocyte progenitor cells 12,254,0.185,27.0,37,5,13.51,3.73 (2.94-4.53),32,86.49,4.64 (3.98-5.31),2.53,2.46
oligodendrocytes 10,2107,0.485,100.0,358,46,12.85,1.71 (1.41-2.02),312,87.15,4.29 (4.11-4.46),30.33,6.40
connective tissue cells 21,147,0.177,22.0,4,1,25.0,5.06 (NA-NA),3,75.0,5.43 (4.83-6.04),2.30,4.13
astrocytes 15,208,0.3,61.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,287,0.238,33.0,105,10,9.52,2.90 (1.88-3.92),95,90.48,5.44 (5.00-5.87),3.50,3.47
da neurons 6,398,0.222,74.0,138,13,9.42,2.32 (1.43-3.21),125,90.58,5.14 (4.78-5.49),2.84,2.72
astrocytes microglia 23,229,0.282,46.0,99,6,6.06,3.02 (2.66-3.39),93,93.94,4.39 (4.04-4.74),3.29,3.23
astrocytes 4,255,0.169,49.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,261,0.157,33.0,42,8,19.05,2.14 (0.88-3.40),34,80.95,4.70 (4.05-5.35),2.09,2.32
microglia 1,315,0.186,58.0,144,8,5.56,3.47 (2.82-4.12),136,94.44,4.53 (4.21-4.85),3.87,4.23
oligodendrocytes 3,127,0.235,43.0,45,7,15.56,3.53 (2.40-4.66),38,84.44,4.61 (3.54-5.68),2.35,6.58
oligodendrocytes 2,921,0.074,1.0,200,8,4.0,3.08 (1.91-4.25),192,96.0,3.64 (3.37-3.91),5.15,3.39
