tipo_celular,module_size,JUND_MM,JUND_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.329,96.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,506,0.182,49.0,225,12,5.33,1.74 (1.28-2.19),213,94.67,3.76 (3.51-4.01),9.54,7.81
astrocytes 5,328,0.194,64.0,128,1,0.78,NA,127,99.22,3.57 (3.23-3.91),3.96,6.78
oligodendrocyte progenitor cells 7,628,0.222,77.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,1069,0.195,71.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1316,0.221,96.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,1220,0.197,56.0,410,3,0.73,0.67 (0.43-0.90),407,99.27,4.27 (4.09-4.46),13.62,7.47
GABA neurons expressing GABA receptors 13,417,0.213,76.0,213,17,7.98,1.16 (0.75-1.57),196,92.02,4.06 (3.84-4.28),7.41,9.88
endothelial cells 9,916,0.227,56.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,938,0.199,80.0,169,4,2.37,0.69 (0.05-1.34),165,97.63,3.54 (3.33-3.75),3.82,5.40
GABA like neurons 14,2402,0.579,94.0,455,21,4.62,1.34 (0.95-1.73),434,95.38,4.55 (4.37-4.72),20.16,8.29
astrocytes 8,603,0.253,94.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34),5.55,6.09
oligodendrocyte progenitor cells 12,1049,0.147,74.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,483,0.108,47.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,142,0.3,38.0,55,8,14.55,1.78 (0.66-2.90),47,85.45,4.07 (3.12-5.02),2.31,3.45
astrocytes 15,458,0.106,57.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,151,0.119,6.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,448,0.212,97.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78),3.01,3.53
astrocytes microglia 23,131,0.195,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,208,0.362,88.0,173,2,1.16,4.78 (NA-NA),171,98.84,3.79 (3.49-4.09),3.07,5.65
oligodendrocytes 0,546,0.22,72.0,252,18,7.14,1.15 (0.81-1.49),234,92.86,4.38 (4.15-4.61),8.24,8.21
microglia 1,958,0.106,43.0,290,15,5.17,2.54 (1.83-3.25),275,94.83,3.90 (3.66-4.13),5.44,4.98
oligodendrocytes 3,743,0.162,94.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526,0.383,80.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
