tipo_celular,module_size,LARP1_MM,LARP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.194,61.0,140,1,0.71,NA,139,99.29,4.51 (4.08-4.93),1.50,3.59
T cells 18,727,0.114,27.0,49,1,2.04,3.05 (NA-NA),48,97.96,2.41 (2.01-2.82),1.32,6.34
astrocytes 5,932,0.109,49.0,80,1,1.25,NA,79,98.75,3.67 (3.26-4.08),1.65,4.34
oligodendrocyte progenitor cells 7,4285,0.106,13.0,353,69,19.55,3.04 (2.55-3.52),284,80.45,4.14 (3.95-4.32),13.47,6.75
GABA neurons expressing GLU receptors 22,848,0.143,21.0,262,26,9.92,3.30 (2.37-4.22),236,90.08,4.25 (4.00-4.50),3.24,4.20
GLU like neurons 17,380,0.09,6.0,39,2,5.13,5.10 (0.24-9.97),37,94.87,2.84 (2.32-3.36),1.49,2.63
da like neurons 11,108,0.288,75.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,266,0.171,58.0,118,1,0.85,2.92 (NA-NA),117,99.15,4.76 (4.40-5.11),2.57,4.00
endothelial cells 9,338,0.1,31.0,191,6,3.14,6.51 (5.76-7.25),185,96.86,3.81 (3.60-4.03),6.20,9.25
oligodendrocytes 20,322,0.075,26.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300,0.188,41.0,306,17,5.56,2.35 (1.65-3.04),289,94.44,5.32 (5.07-5.58),4.73,6.82
astrocytes 8,520,0.086,34.0,288,22,7.64,3.61 (2.78-4.43),266,92.36,4.23 (4.03-4.43),4.33,4.71
oligodendrocyte progenitor cells 12,3303,0.071,40.0,276,49,17.75,2.54 (2.07-3.01),227,82.25,3.81 (3.58-4.04),6.52,4.81
oligodendrocytes 10,735,0.216,92.0,277,7,2.53,6.29 (4.87-7.71),270,97.47,3.85 (3.60-4.09),2.27,9.12
connective tissue cells 21,103,0.258,37.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1401,0.105,67.0,96,9,9.38,2.72 (1.76-3.68),87,90.62,3.71 (3.23-4.20),3.16,3.86
oligodendrocytes 16,158,0.146,12.0,30,2,6.67,1.95 (NA-NA),28,93.33,2.35 (1.67-3.02),1.51,12.77
da neurons 6,307,0.289,99.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31),2.35,3.37
astrocytes microglia 23,255,0.226,28.0,57,4,7.02,2.64 (1.90-3.39),53,92.98,2.65 (2.27-3.04),1.76,3.45
astrocytes 4,251,0.096,4.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,613,0.14,48.0,127,24,18.9,3.38 (2.49-4.26),103,81.1,2.94 (2.47-3.40),3.29,6.97
microglia 1,214,0.094,10.0,227,3,1.32,2.25 (0.36-4.14),224,98.68,4.11 (3.88-4.35),3.92,6.15
oligodendrocytes 3,457,0.07,22.0,345,17,4.93,4.58 (3.71-5.45),328,95.07,4.25 (4.04-4.47),5.57,5.70
oligodendrocytes 2,99,0.131,11.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
