tipo_celular,module_size,PAIP2_MM,PAIP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.185,36.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,282,0.135,19.0,12,3,25.0,5.12 (4.88-5.36),9,75.0,2.70 (1.43-3.96),2.47,6.34
astrocytes 5,228,0.07,1.0,266,5,1.88,2.45 (0.65-4.25),261,98.12,4.15 (3.94-4.36),5.98,4.96
oligodendrocyte progenitor cells 7,628,0.107,10.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,848,0.232,59.0,262,10,3.82,3.12 (1.86-4.38),252,96.18,4.22 (3.97-4.47),2.95,4.15
GLU like neurons 17,1316,0.155,76.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.17,47.0,410,10,2.44,4.04 (2.69-5.39),400,97.56,4.25 (4.07-4.44),7.99,7.50
GABA neurons expressing GABA receptors 13,90,0.105,9.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07),NA,1.84
endothelial cells 9,916,0.101,15.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,348,0.085,40.0,33,2,6.06,3.21 (2.29-4.12),31,93.94,2.70 (2.18-3.22),2.05,3.47
GABA like neurons 14,2402,0.233,51.0,455,17,3.74,2.77 (1.69-3.85),438,96.26,4.43 (4.24-4.61),17.17,8.51
astrocytes 8,520,0.067,22.0,288,5,1.74,2.76 (1.32-4.20),283,98.26,4.20 (4.00-4.40),3.13,4.71
oligodendrocyte progenitor cells 12,1049,0.113,62.0,235,5,2.13,4.11 (2.95-5.28),230,97.87,3.82 (3.58-4.05),9.37,7.58
oligodendrocytes 10,806,0.154,49.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,111,0.271,43.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,1768,0.03,3.0,105,14,13.33,2.16 (1.04-3.28),91,86.67,3.39 (3.06-3.72),4.89,3.84
oligodendrocytes 16,156,0.181,37.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,409,0.105,37.0,235,4,1.7,1.78 (0.76-2.80),231,98.3,4.03 (3.78-4.28),3.79,4.43
astrocytes microglia 23,126,0.209,3.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,787,0.112,4.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.131,39.0,127,12,9.45,3.23 (2.01-4.46),115,90.55,3.02 (2.58-3.46),2.81,6.64
microglia 1,1615,0.081,11.0,161,20,12.42,1.74 (1.26-2.22),141,87.58,3.55 (3.27-3.82),7.25,5.17
oligodendrocytes 3,357,0.081,39.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,528,0.143,16.0,175,4,2.29,5.24 (2.94-7.53),171,97.71,4.35 (3.99-4.70),2.11,4.68
