tipo_celular,module_size,ATAD1_MM,ATAD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.165,26.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,727,0.112,26.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1656,0.119,55.0,136,5,3.68,2.91 (NA-NA),131,96.32,3.21 (2.94-3.48),2.65,5.08
oligodendrocyte progenitor cells 7,4285,0.136,52.0,353,28,7.93,2.04 (1.55-2.53),325,92.07,4.07 (3.88-4.25),20.87,6.96
GABA neurons expressing GLU receptors 22,848,0.245,63.0,262,27,10.31,4.02 (3.38-4.67),235,89.69,4.18 (3.91-4.44),5.71,3.92
GLU like neurons 17,380,0.211,78.0,39,3,7.69,2.61 (1.21-4.00),36,92.31,3.00 (2.41-3.59),2.44,2.58
da like neurons 11,172,0.301,71.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,266,0.133,33.0,118,4,3.39,5.64 (5.26-6.01),114,96.61,4.70 (4.33-5.06),2.13,4.06
endothelial cells 9,586,0.139,32.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53),3.67,4.22
oligodendrocytes 20,271,0.238,74.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052,0.265,100.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,520,0.064,21.0,288,34,11.81,3.70 (3.20-4.21),254,88.19,4.24 (4.03-4.46),6.34,4.46
oligodendrocyte progenitor cells 12,3303,0.105,79.0,276,12,4.35,2.30 (1.74-2.86),264,95.65,3.62 (3.39-3.84),6.06,5.07
oligodendrocytes 10,735,0.121,64.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14),2.03,8.97
connective tissue cells 21,104,0.278,47.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,1768,0.029,3.0,105,12,11.43,2.25 (1.68-2.82),93,88.57,3.34 (2.97-3.70),3.61,4.03
oligodendrocytes 16,113,0.284,90.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,518,0.119,59.0,122,21,17.21,2.22 (1.66-2.79),101,82.79,4.50 (4.09-4.91),4.70,3.23
astrocytes microglia 23,63,0.419,94.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.169,81.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.11,42.0,238,6,2.52,1.91 (0.74-3.08),232,97.48,3.67 (3.45-3.89),6.20,4.99
microglia 1,813,0.107,38.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54),3.89,8.01
oligodendrocytes 3,743,0.079,45.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630,0.149,66.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
