tipo_celular,module_size,SRP54_MM,SRP54_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.177,50.0,73,2,2.74,2.88 (2.68-3.08),71,97.26,3.59 (3.23-3.94),3.23,3.22
T cells 18,518,0.129,29.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656,0.127,69.0,136,4,2.94,2.44 (0.98-3.90),132,97.06,3.23 (2.96-3.51),4.56,5.00
oligodendrocyte progenitor cells 7,4285,0.172,94.0,353,40,11.33,2.35 (1.93-2.76),313,88.67,4.15 (3.96-4.34),20.20,6.51
GABA neurons expressing GLU receptors 22,400,0.164,29.0,24,13,54.17,1.75 (0.97-2.54),11,45.83,2.63 (2.11-3.16),4.34,2.69
GLU like neurons 17,637,0.111,27.0,91,17,18.68,1.85 (1.21-2.50),74,81.32,5.45 (5.01-5.88),3.33,3.00
da like neurons 11,97,0.084,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,101,0.155,43.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,450,0.042,1.0,74,2,2.7,3.33 (0.22-6.44),72,97.3,5.55 (5.00-6.11),2.94,3.66
oligodendrocytes 20,403,0.141,58.0,18,10,55.56,1.33 (0.66-1.99),8,44.44,2.57 (1.42-3.72),4.84,2.48
GABA like neurons 14,2402,0.162,29.0,455,48,10.55,3.04 (2.43-3.64),407,89.45,4.50 (4.31-4.69),16.60,7.92
astrocytes 8,577,0.094,58.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72),4.43,4.47
oligodendrocyte progenitor cells 12,708,0.045,8.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,483,0.074,26.0,129,2,1.55,4.36 (2.78-5.94),127,98.45,3.41 (3.01-3.81),3.15,19.44
connective tissue cells 21,111,0.292,56.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,418,0.033,12.0,54,1,1.85,3.75 (NA-NA),53,98.15,3.68 (3.23-4.13),3.40,3.01
oligodendrocytes 16,121,0.147,11.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,518,0.126,66.0,122,32,26.23,2.59 (2.14-3.04),90,73.77,4.69 (4.23-5.14),4.19,3.23
astrocytes microglia 23,107,0.189,2.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA),NA,2.49
astrocytes 4,787,0.131,17.0,65,2,3.08,2.85 (NA-NA),63,96.92,2.96 (2.56-3.37),1.73,5.87
oligodendrocytes 0,2078,0.144,96.0,238,11,4.62,2.77 (1.93-3.61),227,95.38,3.68 (3.45-3.91),7.23,4.92
microglia 1,958,0.109,46.0,290,20,6.9,3.21 (2.83-3.59),270,93.1,3.87 (3.63-4.12),6.25,4.91
oligodendrocytes 3,639,0.084,40.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13),2.82,1.92
oligodendrocytes 2,921,0.121,25.0,200,16,8.0,3.38 (3.00-3.75),184,92.0,3.65 (3.36-3.94),5.12,3.32
