tipo_celular,module_size,IL6ST_MM,IL6ST_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.438,90.0,140,47,33.57,4.16 (3.83-4.50),93,66.43,4.80 (4.40-5.20),4.28,3.17
T cells 18,477,0.258,90.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141,0.149,75.0,166,19,11.45,2.15 (1.66-2.64),147,88.55,3.59 (3.33-3.86),3.31,4.71
oligodendrocyte progenitor cells 7,666,0.204,74.0,127,28,22.05,3.21 (2.63-3.78),99,77.95,4.07 (3.68-4.47),3.64,6.46
GABA neurons expressing GLU receptors 22,848,0.216,53.0,262,15,5.73,2.66 (1.70-3.61),247,94.27,4.25 (4.00-4.50),8.94,3.81
GLU like neurons 17,637,0.139,42.0,91,10,10.99,2.28 (1.37-3.19),81,89.01,4.93 (4.40-5.46),1.94,3.20
da like neurons 11,1220,0.107,19.0,410,19,4.63,3.35 (2.69-4.02),391,95.37,4.30 (4.10-4.49),14.38,7.18
GABA neurons expressing GABA receptors 13,266,0.139,37.0,118,2,1.69,2.76 (2.46-3.07),116,98.31,4.78 (4.42-5.14),2.29,4.02
endothelial cells 9,559,0.243,73.0,155,9,5.81,4.92 (3.93-5.90),146,94.19,4.29 (3.91-4.67),2.69,4.43
oligodendrocytes 20,233,0.105,13.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402,0.184,36.0,455,20,4.4,2.17 (1.35-2.99),435,95.6,4.45 (4.27-4.64),20.28,8.31
astrocytes 8,727,0.129,64.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.106,80.0,276,27,9.78,1.96 (1.60-2.33),249,90.22,3.76 (3.54-3.99),7.83,4.82
oligodendrocytes 10,2107,0.129,43.0,358,34,9.5,1.86 (1.52-2.20),324,90.5,4.15 (3.97-4.34),18.22,8.55
connective tissue cells 21,142,0.291,33.0,55,7,12.73,1.90 (0.74-3.07),48,87.27,3.92 (2.95-4.89),2.85,3.35
astrocytes 15,1401,0.032,4.0,96,4,4.17,2.48 (1.34-3.62),92,95.83,3.67 (3.21-4.14),1.63,3.89
oligodendrocytes 16,90,0.298,87.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,448,0.19,94.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,229,0.476,95.0,99,17,17.17,3.96 (3.45-4.46),82,82.83,4.38 (3.98-4.77),3.25,3.23
astrocytes 4,514,0.186,52.0,95,8,8.42,1.95 (0.62-3.28),87,91.58,3.50 (3.07-3.93),2.60,4.83
oligodendrocytes 0,613,0.15,56.0,127,8,6.3,1.92 (1.55-2.29),119,93.7,3.18 (2.73-3.63),3.06,6.49
microglia 1,315,0.336,94.0,144,37,25.69,4.24 (3.77-4.71),107,74.31,4.53 (4.15-4.91),2.90,4.66
oligodendrocytes 3,854,0.092,53.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,921,0.165,89.0,200,2,1.0,1.64 (1.01-2.27),198,99.0,3.65 (3.38-3.91),5.80,3.44
