tipo_celular,module_size,NUFIP2_MM,NUFIP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.231,83.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,518,0.187,70.0,131,1,0.76,NA,130,99.24,3.07 (2.80-3.35),2.27,4.77
astrocytes 5,423,0.109,20.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285,0.148,70.0,353,24,6.8,1.64 (1.17-2.12),329,93.2,4.07 (3.89-4.25),32.96,6.25
GABA neurons expressing GLU receptors 22,848,0.162,28.0,262,8,3.05,2.08 (0.76-3.39),254,96.95,4.22 (3.97-4.46),4.79,4.08
GLU like neurons 17,1316,0.2,93.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,853,0.135,53.0,133,15,11.28,1.64 (1.08-2.20),118,88.72,3.48 (3.16-3.81),5.44,4.00
GABA neurons expressing GABA receptors 13,77,0.203,61.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41),1.81,1.75
endothelial cells 9,412,0.193,57.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20),NA,6.82
oligodendrocytes 20,275,0.174,38.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052,0.149,59.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.071,38.0,83,1,1.2,NA,82,98.8,3.25 (2.80-3.70),1.81,4.50
oligodendrocyte progenitor cells 12,3303,0.107,80.0,276,14,5.07,2.02 (1.54-2.50),262,94.93,3.64 (3.42-3.86),16.56,4.50
oligodendrocytes 10,2107,0.196,68.0,358,23,6.42,1.64 (1.17-2.12),335,93.58,4.04 (3.85-4.23),37.64,7.54
connective tissue cells 21,104,0.18,6.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,1768,0.153,92.0,105,11,10.48,1.84 (1.32-2.36),94,89.52,3.35 (3.00-3.71),7.94,3.52
oligodendrocytes 16,91,0.132,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.125,48.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,253,0.207,24.0,47,2,4.26,NA,45,95.74,2.84 (2.52-3.17),1.47,3.15
astrocytes 4,514,0.142,22.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,613,0.204,91.0,127,7,5.51,3.56 (2.92-4.21),120,94.49,3.03 (2.60-3.46),5.69,6.31
microglia 1,958,0.203,99.0,290,7,2.41,2.61 (1.38-3.84),283,97.59,3.84 (3.60-4.07),6.32,4.97
oligodendrocytes 3,681,0.133,79.0,87,14,16.09,1.91 (1.34-2.49),73,83.91,2.71 (2.42-3.01),8.34,3.46
oligodendrocytes 2,921,0.154,78.0,200,5,2.5,3.22 (NA-NA),195,97.5,3.62 (3.36-3.89),6.61,3.38
