tipo_celular,module_size,PAPSS1_MM,PAPSS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.126,27.0,140,9,6.43,3.95 (3.91-3.98),131,93.57,4.56 (4.10-5.02),3.26,3.59
T cells 18,610,0.14,39.0,98,13,13.27,2.06 (1.28-2.84),85,86.73,3.30 (2.97-3.63),4.71,3.93
astrocytes 5,1141,0.126,42.0,166,7,4.22,1.31 (0.59-2.02),159,95.78,3.50 (3.25-3.75),3.50,4.60
oligodendrocyte progenitor cells 7,4285,0.136,51.0,353,16,4.53,1.95 (1.29-2.61),337,95.47,4.01 (3.83-4.19),24.43,7.29
GABA neurons expressing GLU receptors 22,823,0.134,23.0,23,1,4.35,4.07 (NA-NA),22,95.65,2.30 (1.56-3.04),1.48,3.51
GLU like neurons 17,1316,0.077,11.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,153,0.231,49.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,288,0.102,10.0,93,4,4.3,3.45 (2.71-4.20),89,95.7,5.25 (4.73-5.76),4.84,3.91
endothelial cells 9,450,0.073,7.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,938,0.142,57.0,169,18,10.65,3.41 (2.82-3.99),151,89.35,3.49 (3.25-3.73),3.21,5.62
GABA like neurons 14,3052,0.169,74.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727,0.199,89.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708,0.267,83.0,32,2,6.25,1.89 (-1.31-5.09),30,93.75,3.35 (2.51-4.19),4.85,2.45
oligodendrocytes 10,2107,0.101,29.0,358,16,4.47,1.95 (1.29-2.61),342,95.53,3.98 (3.79-4.17),23.91,8.80
connective tissue cells 21,104,0.299,58.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,1768,0.123,80.0,105,8,7.62,1.37 (0.74-2.01),97,92.38,3.38 (3.04-3.72),6.32,3.79
oligodendrocytes 16,66,0.217,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.101,41.0,122,4,3.28,1.41 (0.40-2.42),118,96.72,4.10 (3.71-4.50),2.36,3.52
astrocytes microglia 23,61,0.308,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.137,25.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31),1.85,5.81
oligodendrocytes 0,309,0.133,49.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,1615,0.079,9.0,161,16,9.94,1.95 (1.29-2.61),145,90.06,3.46 (3.18-3.73),9.53,4.98
oligodendrocytes 3,639,0.109,61.0,15,4,26.67,1.60 (0.44-2.77),11,73.33,4.07 (2.36-5.78),2.79,2.01
oligodendrocytes 2,347,0.228,64.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
