tipo_celular,module_size,PTPRM_MM,PTPRM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.256,76.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,624,0.243,95.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.142,67.0,166,13,7.83,1.83 (1.25-2.41),153,92.17,3.55 (3.30-3.81),4.44,4.56
oligodendrocyte progenitor cells 7,436,0.07,13.0,219,38,17.35,5.19 (4.51-5.88),181,82.65,5.22 (4.90-5.53),6.60,4.19
GABA neurons expressing GLU receptors 22,714,0.341,96.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,489,0.293,89.0,42,17,40.48,6.01 (5.12-6.89),25,59.52,5.98 (5.26-6.69),3.59,2.95
da like neurons 11,209,0.452,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,357,0.069,3.0,237,1,0.42,3.22 (NA-NA),236,99.58,4.41 (4.18-4.65),6.47,4.17
endothelial cells 9,658,0.405,93.0,120,42,35.0,4.31 (3.82-4.80),78,65.0,4.79 (4.38-5.20),3.98,3.48
oligodendrocytes 20,298,0.197,69.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300,0.18,37.0,306,67,21.9,4.11 (3.57-4.65),239,78.1,5.46 (5.18-5.74),11.40,5.39
astrocytes 8,140,0.313,93.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,138,0.466,51.0,5,4,80.0,4.33 (4.33-4.33),1,20.0,NA,1.55,5.22
oligodendrocytes 10,1277,0.129,64.0,27,1,3.7,5.62 (NA-NA),26,96.3,5.39 (4.48-6.31),3.23,6.50
connective tissue cells 21,147,0.317,83.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,458,0.122,64.0,36,6,16.67,8.14 (7.87-8.41),30,83.33,2.61 (1.87-3.36),1.65,2.76
oligodendrocytes 16,149,0.104,5.0,70,3,4.29,8.28 (NA-NA),67,95.71,5.60 (5.12-6.07),2.05,3.37
da neurons 6,448,0.204,96.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,327,0.144,1.0,120,21,17.5,2.03 (1.52-2.55),99,82.5,4.04 (3.74-4.33),3.21,2.71
astrocytes 4,752,0.126,14.0,96,6,6.25,3.00 (1.78-4.22),90,93.75,3.31 (2.97-3.66),2.15,4.46
oligodendrocytes 0,1186,0.201,99.0,300,2,0.67,2.54 (NA-NA),298,99.33,3.80 (3.59-4.00),8.09,4.13
microglia 1,480,0.124,13.0,163,10,6.13,3.91 (3.06-4.76),153,93.87,3.69 (3.41-3.97),2.98,5.31
oligodendrocytes 3,1003,0.094,48.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64),1.56,4.26
oligodendrocytes 2,804,0.143,40.0,84,9,10.71,1.93 (1.20-2.65),75,89.29,2.81 (2.44-3.17),3.58,3.37
