tipo_celular,module_size,CCDC186_MM,CCDC186_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.071,4.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,518,0.104,18.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656,0.136,82.0,136,2,1.47,3.46 (3.18-3.74),134,98.53,3.20 (2.93-3.48),4.30,5.00
oligodendrocyte progenitor cells 7,4285,0.152,76.0,353,25,7.08,2.44 (1.69-3.18),328,92.92,4.02 (3.83-4.20),21.84,7.01
GABA neurons expressing GLU receptors 22,823,0.202,65.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,380,0.161,41.0,39,3,7.69,2.87 (2.00-3.74),36,92.31,2.97 (2.38-3.57),3.39,2.50
da like neurons 11,172,0.155,24.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,77,0.216,74.0,8,2,25.0,1.75 (0.19-3.30),6,75.0,3.86 (3.42-4.30),2.40,1.56
endothelial cells 9,658,0.17,37.0,120,4,3.33,3.62 (2.41-4.84),116,96.67,4.65 (4.32-4.97),2.40,3.70
oligodendrocytes 20,295,0.035,6.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,3052,0.234,99.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.60,8.67
astrocytes 8,520,0.045,9.0,288,18,6.25,3.43 (2.77-4.09),270,93.75,4.23 (4.02-4.44),7.08,4.53
oligodendrocyte progenitor cells 12,3303,0.111,83.0,276,14,5.07,2.96 (2.31-3.62),262,94.93,3.58 (3.35-3.81),8.34,4.94
oligodendrocytes 10,735,0.039,7.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,118,0.326,60.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,261,0.281,93.0,8,3,37.5,1.32 (-0.64-3.28),5,62.5,5.45 (3.66-7.23),1.70,1.91
oligodendrocytes 16,90,0.192,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.105,55.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,63,0.352,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.145,51.0,104,6,5.77,1.69 (0.50-2.89),98,94.23,2.94 (2.66-3.22),11.04,5.05
oligodendrocytes 0,2078,0.113,46.0,238,5,2.1,2.46 (1.17-3.75),233,97.9,3.67 (3.44-3.89),7.80,4.96
microglia 1,1615,0.086,17.0,161,13,8.07,1.21 (0.57-1.86),148,91.93,3.48 (3.22-3.74),11.88,4.87
oligodendrocytes 3,681,0.038,3.0,87,5,5.75,0.89 (0.20-1.58),82,94.25,2.67 (2.40-2.94),4.96,4.20
oligodendrocytes 2,1630,0.141,48.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
