tipo_celular,module_size,RPL6_MM,RPL6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.198,69.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,506,0.48,93.0,225,27,12.0,2.63 (2.06-3.19),198,88.0,3.76 (3.49-4.02),28.61,5.08
astrocytes 5,328,0.132,31.0,128,10,7.81,3.70 (3.13-4.26),118,92.19,3.56 (3.18-3.93),20.70,5.58
oligodendrocyte progenitor cells 7,448,0.258,86.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70),39.78,15.06
GABA neurons expressing GLU receptors 22,487,0.308,79.0,73,16,21.92,2.79 (2.13-3.45),57,78.08,2.74 (2.28-3.21),13.80,5.51
GLU like neurons 17,685,0.197,76.0,135,33,24.44,2.06 (1.64-2.48),102,75.56,3.58 (3.23-3.92),6.28,2.93
da like neurons 11,1220,0.236,67.0,410,20,4.88,2.97 (2.31-3.64),390,95.12,4.31 (4.12-4.50),13.70,7.20
GABA neurons expressing GABA receptors 13,417,0.141,35.0,213,30,14.08,2.08 (1.50-2.67),183,85.92,4.09 (3.86-4.32),15.85,8.67
endothelial cells 9,916,0.469,90.0,302,13,4.3,3.15 (2.22-4.08),289,95.7,4.02 (3.79-4.25),36.05,9.51
oligodendrocytes 20,938,0.115,44.0,169,17,10.06,2.84 (2.07-3.61),152,89.94,3.55 (3.33-3.78),16.66,4.10
GABA like neurons 14,2402,0.539,91.0,455,33,7.25,1.93 (1.41-2.45),422,92.75,4.57 (4.39-4.74),26.42,7.46
astrocytes 8,520,0.109,47.0,288,11,3.82,2.42 (1.40-3.44),277,96.18,4.24 (4.04-4.44),3.51,4.73
oligodendrocyte progenitor cells 12,1049,0.261,89.0,235,12,5.11,3.23 (2.63-3.82),223,94.89,3.86 (3.62-4.10),32.53,6.27
oligodendrocytes 10,483,0.391,90.0,129,14,10.85,3.65 (3.14-4.16),115,89.15,3.40 (2.97-3.84),44.24,16.14
connective tissue cells 21,301,0.42,61.0,158,16,10.13,2.65 (1.95-3.35),142,89.87,4.50 (4.11-4.88),33.20,4.12
astrocytes 15,443,0.147,45.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,96,0.231,54.0,102,28,27.45,2.10 (1.61-2.59),74,72.55,3.88 (3.53-4.22),18.01,3.75
da neurons 6,729,0.189,68.0,182,17,9.34,2.65 (2.00-3.30),165,90.66,3.74 (3.47-4.00),31.20,6.18
astrocytes microglia 23,137,0.399,65.0,188,29,15.43,2.18 (1.67-2.68),159,84.57,4.89 (4.55-5.22),25.76,3.75
astrocytes 4,208,0.122,11.0,173,12,6.94,3.57 (3.00-4.15),161,93.06,3.81 (3.49-4.13),13.96,5.00
oligodendrocytes 0,546,0.213,70.0,252,34,13.49,2.09 (1.58-2.60),218,86.51,4.47 (4.23-4.71),24.38,5.69
microglia 1,406,0.409,78.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67),63.64,5.05
oligodendrocytes 3,303,0.205,73.0,154,11,7.14,3.70 (3.13-4.26),143,92.86,3.61 (3.27-3.95),59.34,8.19
oligodendrocytes 2,526,0.339,72.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28),54.82,6.11
