tipo_celular,module_size,RALBP1_MM,RALBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.286,90.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,393,0.147,48.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1656,0.117,52.0,136,2,1.47,2.44 (1.50-3.37),134,98.53,3.22 (2.95-3.50),4.09,5.00
oligodendrocyte progenitor cells 7,4285,0.114,21.0,353,40,11.33,2.05 (1.62-2.47),313,88.67,4.17 (3.99-4.35),24.90,5.91
GABA neurons expressing GLU receptors 22,487,0.228,55.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1247,0.053,3.0,51,3,5.88,2.04 (1.96-2.12),48,94.12,3.70 (3.11-4.30),2.65,3.27
da like neurons 11,1220,0.121,25.0,410,17,4.15,2.83 (2.30-3.36),393,95.85,4.33 (4.14-4.52),10.19,7.40
GABA neurons expressing GABA receptors 13,200,0.084,4.0,34,2,5.88,3.53 (3.29-3.77),32,94.12,3.92 (2.96-4.88),1.78,3.60
endothelial cells 9,916,0.132,25.0,302,9,2.98,3.52 (1.88-5.16),293,97.02,4.00 (3.77-4.23),9.38,10.69
oligodendrocytes 20,938,0.147,61.0,169,8,4.73,2.10 (0.92-3.28),161,95.27,3.55 (3.34-3.77),4.87,5.39
GABA like neurons 14,2402,0.213,45.0,455,28,6.15,2.27 (1.70-2.83),427,93.85,4.54 (4.35-4.72),20.23,8.09
astrocytes 8,520,0.061,20.0,288,19,6.6,3.17 (2.54-3.81),269,93.4,4.26 (4.05-4.46),5.30,4.64
oligodendrocyte progenitor cells 12,3303,0.074,44.0,276,33,11.96,2.32 (1.98-2.66),243,88.04,3.77 (3.53-4.01),12.07,4.16
oligodendrocytes 10,735,0.132,69.0,277,2,0.72,4.54 (3.99-5.08),275,99.28,3.89 (3.64-4.13),2.59,8.99
connective tissue cells 21,136,0.283,52.0,3,1,33.33,NA,2,66.67,0.26 (NA-NA),2.42,1.69
astrocytes 15,1401,0.05,17.0,96,9,9.38,2.63 (1.73-3.54),87,90.62,3.71 (3.23-4.19),3.12,3.87
oligodendrocytes 16,90,0.202,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.146,63.0,124,6,4.84,3.11 (1.60-4.62),118,95.16,4.25 (3.84-4.65),2.67,3.05
astrocytes microglia 23,80,0.429,97.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.113,7.0,104,18,17.31,1.86 (1.35-2.37),86,82.69,3.08 (2.77-3.38),13.38,3.73
oligodendrocytes 0,2078,0.114,49.0,238,8,3.36,2.35 (1.70-3.01),230,96.64,3.69 (3.46-3.91),5.58,5.00
microglia 1,1615,0.089,21.0,161,38,23.6,2.27 (1.79-2.75),123,76.4,3.65 (3.36-3.94),10.87,3.75
oligodendrocytes 3,457,0.057,13.0,345,19,5.51,3.42 (2.85-4.00),326,94.49,4.34 (4.13-4.56),4.34,5.77
oligodendrocytes 2,528,0.128,10.0,175,8,4.57,2.59 (1.75-3.43),167,95.43,4.51 (4.15-4.87),4.29,4.64
