tipo_celular,module_size,SCD5_MM,SCD5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.462,91.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.306,79.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93),NA,3.31
astrocytes 5,156,0.116,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628,0.25,83.0,164,6,3.66,3.50 (2.61-4.39),158,96.34,4.12 (3.78-4.46),8.81,7.48
GABA neurons expressing GLU receptors 22,823,0.127,20.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,685,0.394,96.0,135,6,4.44,1.72 (0.84-2.61),129,95.56,3.27 (2.96-3.58),3.15,3.78
da like neurons 11,153,0.227,47.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,357,0.142,38.0,237,3,1.27,4.78 (4.78-4.78),234,98.73,4.40 (4.16-4.64),1.85,4.21
endothelial cells 9,450,0.429,82.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,403,0.102,44.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57),5.27,2.61
GABA like neurons 14,1300,0.118,13.0,306,2,0.65,0.75 (-0.32-1.81),304,99.35,5.13 (4.87-5.39),3.09,6.73
astrocytes 8,279,0.147,9.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73),NA,2.71
oligodendrocyte progenitor cells 12,411,0.12,52.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,806,0.409,91.0,261,8,3.07,3.01 (2.27-3.75),253,96.93,4.42 (4.18-4.67),7.17,6.03
connective tissue cells 21,250,0.296,45.0,117,1,0.85,1.29 (NA-NA),116,99.15,5.42 (5.03-5.81),2.73,3.75
astrocytes 15,418,0.17,55.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,287,0.097,3.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52),NA,3.47
da neurons 6,300,0.293,85.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,114,0.155,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,201,0.164,45.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,187,0.09,5.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,127,0.381,82.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,99,0.182,28.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237,0.132,11.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
