tipo_celular,module_size,MIGA1_MM,MIGA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.168,25.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,727,0.095,14.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141,0.114,26.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70),6.49,4.51
oligodendrocyte progenitor cells 7,4285,0.141,59.0,353,13,3.68,1.02 (0.62-1.43),340,96.32,4.03 (3.85-4.21),35.08,7.03
GABA neurons expressing GLU receptors 22,599,0.21,50.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,795,0.073,11.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,200,0.318,85.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,266,0.092,7.0,118,1,0.85,4.57 (NA-NA),117,99.15,4.74 (4.38-5.10),2.78,4.00
endothelial cells 9,1653,0.108,34.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,938,0.113,43.0,169,4,2.37,1.08 (0.27-1.88),165,97.63,3.55 (3.34-3.77),3.59,5.41
GABA like neurons 14,2402,0.182,35.0,455,10,2.2,1.19 (0.41-1.97),445,97.8,4.44 (4.26-4.62),37.89,8.18
astrocytes 8,771,0.096,39.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303,0.074,43.0,276,4,1.45,1.44 (0.56-2.31),272,98.55,3.57 (3.35-3.79),6.93,5.08
oligodendrocytes 10,806,0.149,47.0,261,2,0.77,1.55 (1.04-2.07),259,99.23,4.39 (4.15-4.63),6.66,6.06
connective tissue cells 21,92,0.185,10.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1401,0.044,12.0,96,1,1.04,2.23 (NA-NA),95,98.96,3.63 (3.18-4.08),6.66,3.77
oligodendrocytes 16,156,0.155,16.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,300,0.107,25.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,135,0.29,36.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.156,58.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,613,0.135,43.0,127,1,0.79,NA,126,99.21,3.05 (2.64-3.46),1.76,6.31
microglia 1,1615,0.079,9.0,161,11,6.83,0.89 (0.45-1.33),150,93.17,3.49 (3.23-3.75),13.79,4.82
oligodendrocytes 3,681,0.076,33.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94),5.85,4.16
oligodendrocytes 2,528,0.173,32.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75),7.99,4.60
