tipo_celular,module_size,STRBP_MM,STRBP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.072,4.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84),NA,3.54
T cells 18,610,0.214,87.0,98,8,8.16,1.06 (0.34-1.78),90,91.84,3.32 (3.02-3.63),10.59,3.45
astrocytes 5,1141,0.111,23.0,166,3,1.81,0.76 (0.35-1.17),163,98.19,3.45 (3.20-3.70),10.47,4.44
oligodendrocyte progenitor cells 7,4285,0.156,81.0,353,11,3.12,1.07 (0.54-1.60),342,96.88,4.01 (3.83-4.19),41.42,6.99
GABA neurons expressing GLU receptors 22,823,0.247,86.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,300,0.165,28.0,16,1,6.25,NA,15,93.75,2.08 (1.23-2.93),1.51,2.53
da like neurons 11,145,0.312,69.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,266,0.147,42.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,658,0.102,13.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92),NA,3.65
oligodendrocytes 20,676,0.043,17.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,1300,0.145,21.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37),2.69,6.72
astrocytes 8,727,0.053,12.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.099,74.0,276,7,2.54,1.61 (0.88-2.34),269,97.46,3.60 (3.38-3.82),10.16,4.98
oligodendrocytes 10,2107,0.271,85.0,358,11,3.07,1.07 (0.54-1.60),347,96.93,3.98 (3.79-4.17),39.84,8.51
connective tissue cells 21,69,0.294,52.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,377,0.162,57.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,156,0.344,98.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,448,0.196,95.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,327,0.333,52.0,120,3,2.5,0.87 (-0.19-1.93),117,97.5,3.70 (3.41-4.00),3.38,2.78
astrocytes 4,787,0.158,62.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186,0.099,4.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,480,0.238,69.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,854,0.067,21.0,76,2,2.63,1.39 (1.08-1.71),74,97.37,2.82 (2.49-3.15),3.10,4.76
oligodendrocytes 2,347,0.138,16.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
