tipo_celular,module_size,HK1_MM,HK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.2,62.0,140,38,27.14,5.04 (4.38-5.70),102,72.86,4.26 (3.74-4.79),2.61,3.93
T cells 18,282.0,0.188,59.0,241,50,20.75,4.75 (4.18-5.31),191,79.25,3.91 (3.63-4.18),4.03,4.42
astrocytes 5,228.0,0.102,11.0,266,36,13.53,3.10 (2.68-3.52),230,86.47,4.33 (4.10-4.56),6.55,4.73
oligodendrocyte progenitor cells 7,296.0,0.172,44.0,251,30,11.95,4.14 (3.73-4.55),221,88.05,4.06 (3.79-4.32),5.39,6.26
GABA neurons expressing GLU receptors 22,203.0,0.266,51.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,489.0,0.186,74.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,172.0,0.244,53.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,265.0,0.13,35.0,78,3,3.85,2.51 (1.56-3.47),75,96.15,4.46 (4.04-4.87),5.58,4.21
endothelial cells 9,385.0,0.087,33.0,275,20,7.27,2.09 (1.41-2.77),255,92.73,4.17 (3.91-4.43),8.55,5.67
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.153,26.0,455,36,7.91,3.06 (2.54-3.58),419,92.09,4.49 (4.30-4.69),18.78,7.98
astrocytes 8,520.0,0.191,68.0,288,30,10.42,3.54 (3.23-3.85),258,89.58,4.26 (4.04-4.49),6.01,4.53
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,20,7.25,2.90 (2.30-3.50),256,92.75,3.61 (3.38-3.84),9.80,4.74
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,125.0,0.212,15.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1401.0,0.159,91.0,96,4,4.17,3.46 (2.49-4.43),92,95.83,3.62 (3.15-4.09),2.66,3.85
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.186,59.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,53.0,0.216,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.106,3.0,61,1,1.64,4.07 (NA-NA),60,98.36,2.95 (2.53-3.36),1.34,6.10
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.095,24.0,290,11,3.79,3.63 (3.06-4.20),279,96.21,3.82 (3.58-4.06),5.71,4.97
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
