tipo_celular,module_size,LPIN2_MM,LPIN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.128,28.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,518,0.222,84.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36),4.47,4.76
astrocytes 5,1141,0.083,3.0,166,27,16.27,2.13 (1.74-2.53),139,83.73,3.70 (3.43-3.97),4.47,4.56
oligodendrocyte progenitor cells 7,4285,0.15,72.0,353,49,13.88,2.20 (1.85-2.54),304,86.12,4.25 (4.07-4.43),19.57,6.21
GABA neurons expressing GLU receptors 22,487,0.243,61.0,73,4,5.48,2.34 (0.49-4.19),69,94.52,2.78 (2.39-3.18),1.92,7.64
GLU like neurons 17,300,0.198,60.0,16,1,6.25,5.16 (NA-NA),15,93.75,1.84 (1.07-2.61),1.32,2.55
da like neurons 11,209,0.221,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,75,0.153,44.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,385,0.144,76.0,275,41,14.91,2.04 (1.72-2.35),234,85.09,4.48 (4.21-4.74),9.59,5.23
oligodendrocytes 20,279,0.007,0.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2402,0.207,44.0,455,20,4.4,1.79 (1.20-2.39),435,95.6,4.51 (4.33-4.69),24.13,8.13
astrocytes 8,140,0.208,74.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303,0.111,84.0,276,43,15.58,2.42 (2.06-2.79),233,84.42,3.81 (3.57-4.05),7.17,4.73
oligodendrocytes 10,2107,0.122,39.0,358,53,14.8,2.06 (1.77-2.36),305,85.2,4.30 (4.11-4.49),23.03,7.12
connective tissue cells 21,104,0.312,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.1,63.0,105,19,18.1,2.42 (1.78-3.05),86,81.9,3.41 (3.03-3.78),4.65,3.83
oligodendrocytes 16,71,0.193,60.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,553,0.077,10.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,190,0.303,71.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,255,0.165,46.0,12,1,8.33,5.51 (NA-NA),11,91.67,4.44 (3.48-5.41),1.36,2.42
oligodendrocytes 0,613,0.123,29.0,127,13,10.24,2.13 (1.69-2.57),114,89.76,3.23 (2.75-3.70),3.19,6.63
microglia 1,1615,0.134,80.0,161,47,29.19,2.14 (1.83-2.46),114,70.81,3.90 (3.59-4.20),7.95,4.39
oligodendrocytes 3,94,0.067,32.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,921,0.124,29.0,200,8,4.0,4.58 (2.60-6.56),192,96.0,3.58 (3.32-3.84),2.91,3.49
