tipo_celular,module_size,PDXK_MM,PDXK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.125,29.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46),4.42,4.91
T cells 18,477,0.133,32.0,43,2,4.65,3.39 (3.06-3.72),41,95.35,1.95 (1.43-2.47),2.03,7.37
astrocytes 5,932,0.093,26.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,666,0.151,37.0,127,7,5.51,3.38 (3.19-3.58),120,94.49,3.85 (3.50-4.20),3.80,5.96
GABA neurons expressing GLU receptors 22,203,0.177,16.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,300,0.186,50.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00),2.13,2.62
da like neurons 11,853,0.115,37.0,133,19,14.29,2.07 (1.43-2.71),114,85.71,3.49 (3.16-3.83),5.14,4.00
GABA neurons expressing GABA receptors 13,200,0.144,44.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81),2.02,3.53
endothelial cells 9,658,0.323,82.0,120,6,5.0,3.59 (3.18-4.01),114,95.0,4.67 (4.34-5.00),3.87,3.64
oligodendrocytes 20,250,0.031,7.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,1300,0.104,10.0,306,7,2.29,2.89 (1.84-3.95),299,97.71,5.17 (4.90-5.43),5.22,6.74
astrocytes 8,520,0.074,27.0,288,18,6.25,3.06 (2.34-3.77),270,93.75,4.22 (4.02-4.42),12.62,4.16
oligodendrocyte progenitor cells 12,3303,0.085,58.0,276,30,10.87,2.69 (2.30-3.07),246,89.13,3.67 (3.43-3.91),10.92,4.40
oligodendrocytes 10,806,0.156,50.0,261,17,6.51,2.94 (2.57-3.31),244,93.49,4.45 (4.20-4.70),5.50,6.10
connective tissue cells 21,126,0.23,20.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79),3.29,1.65
astrocytes 15,338,0.113,19.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,71,0.272,78.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,553,0.136,56.0,124,5,4.03,2.76 (1.55-3.98),119,95.97,4.27 (3.86-4.67),2.39,3.06
astrocytes microglia 23,39,0.319,35.0,1,1,100.0,NA,0,0.0,NA,1.30,NA
astrocytes 4,721,0.154,54.0,61,1,1.64,4.07 (NA-NA),60,98.36,2.95 (2.53-3.36),1.34,6.10
oligodendrocytes 0,116,0.083,6.0,169,5,2.96,3.09 (2.53-3.65),164,97.04,4.33 (4.02-4.63),1.60,6.64
microglia 1,958,0.111,50.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05),3.01,5.01
oligodendrocytes 3,457,0.074,23.0,345,28,8.12,3.04 (2.74-3.34),317,91.88,4.38 (4.16-4.60),11.00,5.22
oligodendrocytes 2,99,0.156,16.0,116,3,2.59,3.46 (3.42-3.50),113,97.41,3.97 (3.66-4.28),2.66,7.36
