tipo_celular,module_size,CD81_MM,CD81_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.193,69.0,97,2,2.06,3.72 (0.88-6.56),95,97.94,3.04 (2.64-3.44),3.96,4.92
T cells 18,282,0.219,71.0,241,6,2.49,4.32 (2.48-6.16),235,97.51,4.05 (3.79-4.30),3.16,4.37
astrocytes 5,328,0.411,93.0,128,2,1.56,4.92 (4.49-5.36),126,98.44,3.54 (3.19-3.89),3.61,6.81
oligodendrocyte progenitor cells 7,628,0.5,100.0,164,7,4.27,4.45 (3.26-5.65),157,95.73,4.06 (3.72-4.40),4.62,7.66
GABA neurons expressing GLU receptors 22,848,0.319,80.0,262,34,12.98,3.77 (3.11-4.43),228,87.02,4.22 (3.96-4.49),6.82,3.70
GLU like neurons 17,685,0.26,86.0,135,50,37.04,2.71 (2.30-3.13),85,62.96,3.48 (3.07-3.89),4.30,3.42
da like neurons 11,1220,0.25,71.0,410,36,8.78,4.24 (3.63-4.85),374,91.22,4.25 (4.05-4.45),12.44,7.04
GABA neurons expressing GABA receptors 13,265,0.213,74.0,78,11,14.1,3.82 (2.88-4.76),67,85.9,4.48 (4.02-4.94),4.31,4.26
endothelial cells 9,916,0.362,80.0,302,10,3.31,3.34 (2.07-4.61),292,96.69,4.01 (3.78-4.23),9.25,10.70
oligodendrocytes 20,938,0.276,92.0,169,25,14.79,3.30 (2.66-3.94),144,85.21,3.51 (3.28-3.74),6.75,5.12
GABA like neurons 14,2402,0.574,94.0,455,49,10.77,3.86 (3.25-4.48),406,89.23,4.41 (4.22-4.61),13.99,8.21
astrocytes 8,603,0.256,95.0,89,8,8.99,1.61 (0.73-2.49),81,91.01,2.92 (2.56-3.29),4.95,6.15
oligodendrocyte progenitor cells 12,1049,0.432,97.0,235,10,4.26,3.51 (2.46-4.56),225,95.74,3.83 (3.60-4.07),11.34,7.45
oligodendrocytes 10,483,0.244,77.0,129,8,6.2,4.21 (3.67-4.75),121,93.8,3.38 (2.97-3.79),11.91,19.67
connective tissue cells 21,301,0.516,82.0,158,17,10.76,4.41 (3.45-5.37),141,89.24,4.22 (3.82-4.62),3.76,7.47
astrocytes 15,338,0.155,54.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,151,0.177,40.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,409,0.125,52.0,235,7,2.98,2.93 (1.56-4.29),228,97.02,4.02 (3.77-4.27),5.70,4.38
astrocytes microglia 23,137,0.378,56.0,188,63,33.51,5.09 (4.53-5.66),125,66.49,3.79 (3.41-4.16),3.57,8.95
astrocytes 4,208,0.322,83.0,173,9,5.2,4.66 (3.45-5.88),164,94.8,3.75 (3.44-4.06),3.93,5.71
oligodendrocytes 0,546,0.328,93.0,252,36,14.29,3.33 (2.60-4.05),216,85.71,4.23 (3.97-4.49),12.69,7.46
microglia 1,406,0.454,84.0,278,32,11.51,5.91 (5.37-6.45),246,88.49,4.09 (3.81-4.38),2.27,7.32
oligodendrocytes 3,303,0.24,83.0,154,3,1.95,5.34 (4.09-6.59),151,98.05,3.59 (3.27-3.91),14.36,11.79
oligodendrocytes 2,526,0.514,94.0,213,2,0.94,4.92 (3.04-6.80),211,99.06,3.97 (3.69-4.24),2.83,7.99
