tipo_celular,module_size,MAPKAP1_MM,MAPKAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.167,23.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,610,0.268,98.0,98,19,19.39,1.70 (1.12-2.28),79,80.61,3.48 (3.17-3.80),9.96,2.61
astrocytes 5,1141,0.122,35.0,166,15,9.04,1.99 (1.37-2.61),151,90.96,3.53 (3.27-3.78),9.42,4.07
oligodendrocyte progenitor cells 7,4285,0.175,96.0,353,29,8.22,1.83 (1.39-2.27),324,91.78,4.11 (3.93-4.29),29.81,6.12
GABA neurons expressing GLU receptors 22,400,0.226,67.0,24,8,33.33,0.92 (0.18-1.67),16,66.67,2.77 (2.35-3.19),5.92,2.41
GLU like neurons 17,685,0.116,40.0,135,29,21.48,3.20 (2.57-3.83),106,78.52,3.19 (2.84-3.54),3.46,3.83
da like neurons 11,145,0.332,80.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,288,0.125,22.0,93,16,17.2,3.46 (2.52-4.39),77,82.8,5.64 (5.13-6.15),4.14,3.91
endothelial cells 9,1653,0.129,51.0,297,3,1.01,NA,294,98.99,3.67 (3.47-3.88),2.90,5.54
oligodendrocytes 20,233,0.296,83.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052,0.096,15.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.60,8.67
astrocytes 8,1266,0.041,7.0,66,24,36.36,2.27 (1.71-2.83),42,63.64,3.92 (3.45-4.40),3.86,2.43
oligodendrocyte progenitor cells 12,3303,0.159,100.0,276,16,5.8,2.12 (1.62-2.61),260,94.2,3.66 (3.43-3.88),16.98,4.38
oligodendrocytes 10,2107,0.233,78.0,358,34,9.5,1.85 (1.41-2.29),324,90.5,4.13 (3.94-4.31),27.67,7.56
connective tissue cells 21,93,0.296,58.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,443,0.091,8.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88),3.73,1.79
oligodendrocytes 16,155,0.238,63.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,448,0.119,68.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,253,0.254,49.0,47,1,2.13,3.78 (NA-NA),46,97.87,2.82 (2.49-3.16),2.80,3.09
astrocytes 4,752,0.147,40.0,96,5,5.21,3.31 (2.42-4.21),91,94.79,3.29 (2.94-3.63),2.25,4.43
oligodendrocytes 0,1186,0.158,73.0,300,16,5.33,3.98 (3.45-4.52),284,94.67,3.78 (3.57-4.00),4.01,4.16
microglia 1,346,0.115,27.0,43,5,11.63,4.36 (2.78-5.94),38,88.37,3.73 (3.20-4.26),4.05,4.54
oligodendrocytes 3,1003,0.1,55.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.164,63.0,84,10,11.9,1.47 (0.83-2.10),74,88.1,2.83 (2.48-3.18),2.34,3.54
