tipo_celular,module_size,ATP6V0A1_MM,ATP6V0A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.183,68.0,19,7,36.84,3.96 (3.77-4.15),12,63.16,1.68 (0.88-2.48),2.14,4.03
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.236,85.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666.0,0.179,59.0,127,11,8.66,1.85 (1.12-2.58),116,91.34,4.01 (3.67-4.34),4.18,6.00
GABA neurons expressing GLU receptors 22,400.0,0.094,4.0,24,13,54.17,1.69 (0.89-2.48),11,45.83,2.71 (2.27-3.15),4.65,2.32
GLU like neurons 17,229.0,0.179,37.0,22,6,27.27,4.06 (4.04-4.08),16,72.73,1.94 (1.31-2.57),1.67,3.62
da like neurons 11,853.0,0.229,90.0,133,16,12.03,1.79 (1.09-2.48),117,87.97,3.48 (3.16-3.80),5.51,3.98
GABA neurons expressing GABA receptors 13,357.0,0.151,43.0,237,35,14.77,4.86 (4.46-5.25),202,85.23,4.31 (4.04-4.58),3.72,4.26
endothelial cells 9,338.0,0.147,57.0,191,50,26.18,4.42 (4.06-4.79),141,73.82,3.66 (3.40-3.93),5.02,10.62
oligodendrocytes 20,322.0,0.158,65.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.092,7.0,455,60,13.19,3.35 (2.84-3.87),395,86.81,4.52 (4.33-4.72),16.39,7.69
astrocytes 8,577.0,0.201,93.0,83,3,3.61,1.36 (0.40-2.32),80,96.39,3.31 (2.86-3.76),1.99,4.56
oligodendrocyte progenitor cells 12,708.0,0.077,30.0,25,5,20.0,4.40 (1.71-7.08),20,80.0,2.39 (1.49-3.29),2.29,2.60
oligodendrocytes 10,806.0,0.263,73.0,261,52,19.92,4.06 (3.65-4.46),209,80.08,4.45 (4.16-4.73),6.38,5.99
connective tissue cells 21,106.0,0.259,51.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,261.0,0.089,16.0,8,6,75.0,3.58 (1.19-5.97),2,25.0,4.26 (NA-NA),1.74,2.10
oligodendrocytes 16,155.0,0.198,36.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,518.0,0.089,26.0,122,27,22.13,1.94 (1.48-2.39),95,77.87,4.62 (4.23-5.02),3.91,3.36
astrocytes microglia 23,327.0,0.469,85.0,120,28,23.33,2.14 (1.53-2.75),92,76.67,3.96 (3.67-4.26),3.76,2.50
astrocytes 4,514.0,0.276,81.0,95,5,5.26,1.76 (0.49-3.02),90,94.74,3.49 (3.06-3.92),2.82,4.74
oligodendrocytes 0,1186.0,0.105,6.0,300,2,0.67,2.37 (1.77-2.97),298,99.33,3.80 (3.60-4.01),1.60,4.17
microglia 1,480.0,0.231,67.0,163,2,1.23,4.23 (NA-NA),161,98.77,3.70 (3.44-3.97),3.65,5.19
oligodendrocytes 3,357.0,0.092,49.0,127,1,0.79,NA,126,99.21,3.12 (2.79-3.45),13.52,4.16
oligodendrocytes 2,347.0,0.17,37.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
