tipo_celular,module_size,TMCC1_MM,TMCC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.23,78.0,32,2,6.25,3.37 (1.15-5.58),30,93.75,3.75 (2.92-4.58),2.44,3.69
T cells 18,477,0.12,22.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,156,0.139,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448,0.145,52.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,487,0.037,2.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1316,0.139,64.0,101,2,1.98,4.52 (2.10-6.93),99,98.02,3.01 (2.66-3.37),2.51,3.06
da like neurons 11,289,0.337,94.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,75,0.275,99.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,1653,0.219,94.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,348,0.139,52.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,1300,0.239,65.0,306,9,2.94,1.98 (1.42-2.55),297,97.06,5.23 (4.98-5.49),4.44,6.78
astrocytes 8,354,0.273,98.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,138,0.476,59.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,2107,0.182,63.0,358,19,5.31,1.79 (1.19-2.38),339,94.69,4.02 (3.83-4.21),24.77,8.62
connective tissue cells 21,111,0.22,19.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768,0.139,88.0,105,9,8.57,1.96 (1.24-2.68),96,91.43,3.34 (2.99-3.69),4.30,3.95
oligodendrocytes 16,112,0.204,74.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,398,0.16,54.0,138,5,3.62,1.89 (0.63-3.16),133,96.38,4.95 (4.59-5.32),3.09,2.72
astrocytes microglia 23,141,0.179,8.0,30,3,10.0,1.82 (1.65-1.99),27,90.0,6.27 (5.57-6.97),1.65,4.31
astrocytes 4,752,0.127,16.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.148,57.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,346,0.186,70.0,43,1,2.33,3.28 (NA-NA),42,97.67,3.78 (3.26-4.30),1.52,4.56
oligodendrocytes 3,854,0.137,87.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804,0.171,70.0,84,5,5.95,1.37 (0.67-2.07),79,94.05,2.79 (2.45-3.14),2.73,3.44
