tipo_celular,module_size,NISCH_MM,NISCH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.302,94.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,477,0.18,62.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656,0.075,4.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285,0.145,66.0,353,25,7.08,1.88 (1.39-2.37),328,92.92,4.09 (3.91-4.27),31.71,6.26
GABA neurons expressing GLU receptors 22,714,0.206,62.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,1316,0.108,36.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,853,0.091,19.0,133,15,11.28,1.82 (1.14-2.49),118,88.72,3.47 (3.15-3.80),5.12,4.04
GABA neurons expressing GABA receptors 13,265,0.178,62.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,338,0.116,44.0,191,2,1.05,3.39 (1.11-5.68),189,98.95,3.89 (3.67-4.12),3.39,9.22
oligodendrocytes 20,403,0.184,72.0,18,7,38.89,0.99 (0.31-1.67),11,61.11,2.44 (1.55-3.33),5.49,2.71
GABA like neurons 14,2402,0.243,54.0,455,19,4.18,1.83 (1.27-2.40),436,95.82,4.49 (4.31-4.67),25.32,8.12
astrocytes 8,354,0.08,23.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.082,54.0,276,15,5.43,2.46 (1.89-3.03),261,94.57,3.62 (3.39-3.85),15.14,4.53
oligodendrocytes 10,806,0.106,29.0,261,11,4.21,3.76 (3.01-4.50),250,95.79,4.39 (4.14-4.64),5.31,6.10
connective tissue cells 21,126,0.328,75.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48),NA,1.88
astrocytes 15,367,0.051,12.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,158,0.212,60.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,553,0.081,13.0,124,3,2.42,2.29 (-1.40-5.98),121,97.58,4.23 (3.83-4.62),3.39,3.02
astrocytes microglia 23,124,0.275,26.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,1807,0.123,15.0,104,10,9.62,1.79 (1.09-2.49),94,90.38,2.99 (2.69-3.28),16.72,4.19
oligodendrocytes 0,2078,0.092,11.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,958,0.053,1.0,290,8,2.76,2.39 (1.82-2.96),282,97.24,3.87 (3.63-4.10),4.21,5.02
oligodendrocytes 3,457,0.054,9.0,345,12,3.48,3.03 (2.32-3.75),333,96.52,4.33 (4.11-4.54),3.87,5.76
oligodendrocytes 2,1630,0.157,81.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
