tipo_celular,module_size,ABCC5_MM,ABCC5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.315,92.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,518,0.146,44.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1141,0.096,10.0,166,4,2.41,0.65 (0.30-0.99),162,97.59,3.47 (3.23-3.72),3.29,4.58
oligodendrocyte progenitor cells 7,4285,0.13,42.0,353,18,5.1,2.36 (1.66-3.05),335,94.9,4.00 (3.81-4.18),10.45,7.94
GABA neurons expressing GLU receptors 22,823,0.186,54.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1247,0.141,56.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853,0.147,61.0,133,8,6.02,1.60 (0.79-2.41),125,93.98,3.38 (3.06-3.70),3.68,4.19
GABA neurons expressing GABA receptors 13,65,0.181,58.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,450,0.12,20.0,74,1,1.35,NA,73,98.65,5.46 (4.91-6.02),2.58,3.65
oligodendrocytes 20,330,0.241,74.0,36,2,5.56,1.21 (0.81-1.61),34,94.44,1.96 (1.60-2.33),3.08,3.13
GABA like neurons 14,1300,0.252,70.0,306,17,5.56,2.83 (2.25-3.41),289,94.44,5.30 (5.03-5.56),3.60,6.89
astrocytes 8,771,0.087,35.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303,0.156,100.0,276,20,7.25,2.39 (1.89-2.88),256,92.75,3.66 (3.43-3.89),6.03,5.04
oligodendrocytes 10,2107,0.045,4.0,358,10,2.79,2.06 (0.86-3.25),348,97.21,3.93 (3.74-4.12),17.61,9.24
connective tissue cells 21,85,0.318,53.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,1401,0.085,50.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09),1.35,3.82
oligodendrocytes 16,155,0.28,78.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56),NA,1.65
da neurons 6,518,0.143,79.0,122,18,14.75,2.90 (2.39-3.42),104,85.25,4.25 (3.79-4.70),3.75,3.44
astrocytes microglia 23,107,0.266,17.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA),NA,2.49
astrocytes 4,721,0.127,11.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613,0.169,72.0,127,3,2.36,2.10 (0.35-3.85),124,97.64,3.09 (2.66-3.51),3.67,6.34
microglia 1,346,0.284,91.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,681,0.14,82.0,87,5,5.75,1.02 (0.71-1.34),82,94.25,2.69 (2.41-2.96),3.88,4.26
oligodendrocytes 2,921,0.197,98.0,200,4,2.0,2.81 (1.47-4.15),196,98.0,3.64 (3.37-3.91),3.21,3.47
