tipo_celular,module_size,SPPL3_MM,SPPL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.18,66.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727,0.146,53.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1141,0.1,14.0,166,8,4.82,1.23 (0.49-1.96),158,95.18,3.52 (3.28-3.77),5.86,4.48
oligodendrocyte progenitor cells 7,448,0.128,41.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,203,0.177,15.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,637,0.107,25.0,91,9,9.89,1.50 (-0.20-3.20),82,90.11,5.01 (4.57-5.45),3.26,3.04
da like neurons 11,265,0.284,83.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,88,0.159,52.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653,0.214,94.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,358,0.159,52.0,31,4,12.9,3.77 (3.66-3.88),27,87.1,2.14 (1.70-2.58),1.79,4.13
GABA like neurons 14,1300,0.078,6.0,306,19,6.21,2.27 (1.78-2.76),287,93.79,5.36 (5.11-5.62),5.52,6.78
astrocytes 8,260,0.183,80.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,103,0.434,34.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,2107,0.222,75.0,358,24,6.7,1.27 (0.91-1.63),334,93.3,4.12 (3.94-4.30),26.60,8.24
connective tissue cells 21,90,0.248,25.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29),NA,1.41
astrocytes 15,367,0.129,41.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,65,0.206,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398,0.135,44.0,138,17,12.32,2.44 (1.77-3.12),121,87.68,5.23 (4.87-5.59),2.51,2.77
astrocytes microglia 23,253,0.19,16.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,752,0.137,27.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.162,78.0,300,6,2.0,3.50 (3.01-3.98),294,98.0,3.80 (3.59-4.01),4.35,4.15
microglia 1,1615,0.145,87.0,161,18,11.18,1.23 (0.76-1.70),143,88.82,3.59 (3.34-3.85),11.98,4.61
oligodendrocytes 3,1003,0.148,84.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.147,46.0,84,5,5.95,1.54 (0.43-2.66),79,94.05,2.78 (2.44-3.12),4.13,3.35
