tipo_celular,module_size,PBX3_MM,PBX3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.125,25.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,624,0.261,97.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.13,47.0,166,19,11.45,1.62 (1.33-1.91),147,88.55,3.68 (3.42-3.93),3.57,4.68
oligodendrocyte progenitor cells 7,4285,0.065,1.0,353,34,9.63,1.65 (1.40-1.90),319,90.37,4.21 (4.03-4.39),19.21,6.88
GABA neurons expressing GLU receptors 22,192,0.18,72.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71),1.60,3.54
GLU like neurons 17,489,0.314,92.0,42,5,11.9,5.65 (4.87-6.44),37,88.1,6.06 (5.41-6.71),3.11,3.23
da like neurons 11,145,0.273,62.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,238,0.205,69.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.169,78.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88),5.84,5.52
oligodendrocytes 20,298,0.17,62.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300,0.149,23.0,306,22,7.19,3.83 (2.97-4.69),284,92.81,5.24 (4.97-5.51),13.69,6.17
astrocytes 8,771,0.104,44.0,48,2,4.17,3.98 (-2.28-10.25),46,95.83,4.45 (3.70-5.21),2.44,3.17
oligodendrocyte progenitor cells 12,218,0.327,65.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107,0.282,86.0,358,40,11.17,1.64 (1.41-1.87),318,88.83,4.26 (4.08-4.44),22.26,7.86
connective tissue cells 21,106,0.261,53.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,443,0.14,39.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,92,0.234,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.17,90.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,253,0.24,42.0,47,5,10.64,1.97 (1.44-2.50),42,89.36,2.97 (2.62-3.32),1.98,3.21
astrocytes 4,752,0.157,55.0,96,6,6.25,2.41 (1.21-3.61),90,93.75,3.36 (3.02-3.70),2.27,4.46
oligodendrocytes 0,187,0.127,24.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,1615,0.216,100.0,161,33,20.5,1.67 (1.41-1.93),128,79.5,3.81 (3.53-4.08),7.58,4.88
oligodendrocytes 3,854,0.142,90.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,347,0.268,78.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
