tipo_celular,module_size,ADD1_MM,ADD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.138,12.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,393,0.098,10.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62),2.27,5.40
astrocytes 5,932,0.104,43.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,4285,0.121,29.0,353,31,8.78,1.81 (1.42-2.20),322,91.22,4.15 (3.97-4.33),28.71,6.08
GABA neurons expressing GLU receptors 22,567,0.197,52.0,16,3,18.75,2.09 (1.81-2.36),13,81.25,1.95 (1.17-2.74),1.56,4.11
GLU like neurons 17,300,0.175,37.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27),2.09,2.69
da like neurons 11,408,0.147,43.0,25,12,48.0,2.26 (1.26-3.26),13,52.0,7.49 (6.86-8.11),1.97,2.56
GABA neurons expressing GABA receptors 13,88,0.139,41.0,2,1,50.0,NA,1,50.0,NA,1.72,1.62
endothelial cells 9,658,0.211,54.0,120,20,16.67,4.06 (3.30-4.83),100,83.33,4.73 (4.38-5.07),3.00,3.78
oligodendrocytes 20,676,0.263,49.0,110,38,34.55,4.13 (3.45-4.82),72,65.45,5.50 (4.96-6.04),3.41,3.58
GABA like neurons 14,1300,0.117,13.0,306,55,17.97,3.84 (3.31-4.37),251,82.03,5.44 (5.16-5.72),7.97,6.43
astrocytes 8,727,0.166,80.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708,0.133,59.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,130,0.466,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,106,0.248,29.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1401,0.109,70.0,96,25,26.04,4.11 (3.37-4.86),71,73.96,3.45 (2.91-3.99),4.21,3.65
oligodendrocytes 16,153,0.287,27.0,14,2,14.29,5.00 (2.64-7.36),12,85.71,4.61 (3.81-5.41),1.98,3.04
da neurons 6,307,0.104,34.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31),2.35,3.37
astrocytes microglia 23,190,0.178,3.0,7,1,14.29,5.39 (NA-NA),6,85.71,4.73 (3.43-6.03),1.62,1.84
astrocytes 4,251,0.103,8.0,34,2,5.88,5.29 (4.13-6.45),32,94.12,5.24 (4.58-5.91),2.35,3.12
oligodendrocytes 0,479,0.112,16.0,40,6,15.0,4.82 (3.99-5.66),34,85.0,6.01 (5.45-6.57),2.55,3.63
microglia 1,1615,0.091,23.0,161,22,13.66,1.60 (1.09-2.10),139,86.34,3.59 (3.32-3.86),14.87,3.94
oligodendrocytes 3,44,0.266,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,348,0.24,65.0,114,26,22.81,4.45 (3.74-5.16),88,77.19,5.36 (4.88-5.85),4.12,4.47
