tipo_celular,module_size,VPS41_MM,VPS41_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.167,23.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,610,0.088,9.0,98,26,26.53,2.54 (1.88-3.21),72,73.47,3.36 (3.02-3.70),5.62,3.46
astrocytes 5,1141,0.117,30.0,166,10,6.02,2.40 (1.28-3.52),156,93.98,3.47 (3.21-3.72),4.44,4.56
oligodendrocyte progenitor cells 7,4285,0.148,69.0,353,45,12.75,2.82 (2.33-3.31),308,87.25,4.10 (3.91-4.29),18.61,6.52
GABA neurons expressing GLU receptors 22,714,0.112,11.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,1247,0.109,31.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,140,0.338,83.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,200,0.128,32.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,1653,0.115,41.0,297,3,1.01,4.45 (3.70-5.20),294,98.99,3.66 (3.46-3.87),5.24,5.52
oligodendrocytes 20,938,0.131,52.0,169,23,13.61,3.07 (2.60-3.54),146,86.39,3.56 (3.32-3.81),3.91,5.59
GABA like neurons 14,3052,0.133,44.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283,0.203,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.076,46.0,276,34,12.32,3.14 (2.65-3.63),242,87.68,3.61 (3.37-3.85),7.84,4.73
oligodendrocytes 10,2107,0.08,17.0,358,43,12.01,2.79 (2.25-3.33),315,87.99,4.07 (3.87-4.26),15.72,8.62
connective tissue cells 21,88,0.166,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.138,87.0,105,21,20.0,3.01 (2.18-3.85),84,80.0,3.27 (2.91-3.63),4.49,3.85
oligodendrocytes 16,65,0.21,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.075,8.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,89,0.21,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752,0.15,46.0,96,1,1.04,3.41 (NA-NA),95,98.96,3.29 (2.95-3.62),3.83,4.32
oligodendrocytes 0,1186,0.113,11.0,300,8,2.67,3.83 (2.72-4.94),292,97.33,3.79 (3.58-4.00),3.23,4.18
microglia 1,1615,0.112,54.0,161,23,14.29,2.31 (1.44-3.19),138,85.71,3.46 (3.21-3.72),9.82,4.70
oligodendrocytes 3,854,0.102,63.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,347,0.149,24.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
