tipo_celular,module_size,APOO_MM,APOO_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.362,72.0,98,6,6.12,2.43 (1.05-3.82),92,93.88,3.29 (2.79-3.78),5.89,13.95
T cells 18,506,0.381,84.0,225,14,6.22,2.39 (1.86-2.93),211,93.78,3.73 (3.46-3.99),5.74,8.05
astrocytes 5,328,0.103,17.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,448,0.191,78.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,487,0.156,23.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,685,0.185,73.0,135,4,2.96,1.96 (0.60-3.31),131,97.04,3.23 (2.92-3.55),2.52,3.79
da like neurons 11,1220,0.165,44.0,410,28,6.83,3.27 (2.77-3.78),382,93.17,4.35 (4.15-4.55),11.29,7.24
GABA neurons expressing GABA receptors 13,417,0.086,3.0,213,23,10.8,1.78 (1.28-2.29),190,89.2,4.08 (3.85-4.32),15.30,9.01
endothelial cells 9,916,0.437,88.0,302,23,7.62,2.99 (2.47-3.50),279,92.38,4.10 (3.86-4.34),13.69,10.40
oligodendrocytes 20,271,0.137,31.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.41,81.0,455,31,6.81,2.51 (2.00-3.02),424,93.19,4.53 (4.35-4.72),22.28,7.85
astrocytes 8,520,0.107,46.0,288,20,6.94,2.85 (2.28-3.41),268,93.06,4.30 (4.10-4.51),5.37,4.63
oligodendrocyte progenitor cells 12,1049,0.206,86.0,235,14,5.96,3.45 (2.86-4.03),221,94.04,3.85 (3.61-4.10),6.56,7.68
oligodendrocytes 10,483,0.349,86.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81),8.17,19.36
connective tissue cells 21,301,0.337,41.0,158,3,1.9,1.19 (0.16-2.22),155,98.1,4.34 (3.98-4.70),10.55,7.00
astrocytes 15,443,0.121,27.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,91,0.191,40.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,729,0.165,58.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,96,0.312,47.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,721,0.127,11.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,546,0.204,67.0,252,30,11.9,2.42 (1.89-2.95),222,88.1,4.41 (4.15-4.66),11.31,7.79
microglia 1,406,0.47,86.0,278,1,0.36,2.61 (NA-NA),277,99.64,4.37 (4.10-4.64),1.95,6.75
oligodendrocytes 3,303,0.203,71.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526,0.236,42.0,213,9,4.23,3.39 (2.61-4.17),204,95.77,4.01 (3.73-4.30),7.66,7.95
