tipo_celular,module_size,RHOT1_MM,RHOT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.146,19.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,727,0.132,40.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,932,0.115,58.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,4285,0.122,29.0,353,32,9.07,2.15 (1.70-2.60),321,90.93,4.12 (3.94-4.31),19.26,6.95
GABA neurons expressing GLU receptors 22,848,0.192,43.0,262,28,10.69,2.66 (2.13-3.20),234,89.31,4.35 (4.09-4.60),3.48,4.18
GLU like neurons 17,1247,0.144,58.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853,0.135,54.0,133,13,9.77,2.32 (1.24-3.39),120,90.23,3.38 (3.06-3.70),4.39,4.14
GABA neurons expressing GABA receptors 13,88,0.187,71.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653,0.134,55.0,297,2,0.67,3.16 (1.92-4.40),295,99.33,3.68 (3.47-3.88),4.53,5.52
oligodendrocytes 20,358,0.203,71.0,31,1,3.23,3.24 (NA-NA),30,96.77,2.33 (1.89-2.77),1.78,3.90
GABA like neurons 14,2090,0.191,75.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266,0.106,70.0,66,14,21.21,1.68 (0.95-2.41),52,78.79,3.73 (3.33-4.13),3.42,2.83
oligodendrocyte progenitor cells 12,3303,0.044,10.0,276,25,9.06,2.79 (2.24-3.34),251,90.94,3.64 (3.41-3.88),6.47,4.97
oligodendrocytes 10,2107,0.117,37.0,358,21,5.87,1.44 (0.98-1.90),337,94.13,4.07 (3.88-4.25),22.23,8.68
connective tissue cells 21,104,0.284,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.093,55.0,105,11,10.48,1.73 (1.24-2.21),94,89.52,3.40 (3.05-3.76),4.69,3.90
oligodendrocytes 16,155,0.271,76.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,518,0.109,50.0,122,24,19.67,2.09 (1.68-2.49),98,80.33,4.65 (4.24-5.06),3.96,3.37
astrocytes microglia 23,190,0.238,32.0,7,1,14.29,5.39 (NA-NA),6,85.71,4.73 (3.43-6.03),1.62,1.84
astrocytes 4,721,0.166,76.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,1186,0.143,47.0,300,3,1.0,3.09 (2.06-4.12),297,99.0,3.80 (3.59-4.01),6.08,4.14
microglia 1,1615,0.102,38.0,161,16,9.94,1.43 (0.88-1.98),145,90.06,3.53 (3.26-3.79),10.28,4.90
oligodendrocytes 3,1003,0.066,17.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.138,50.0,200,4,2.0,2.36 (1.79-2.92),196,98.0,3.65 (3.38-3.92),6.32,3.41
