tipo_celular,module_size,ACTR3_MM,ACTR3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.164,54.0,97,1,1.03,5.16 (NA-NA),96,98.97,3.03 (2.63-3.42),3.46,4.92
T cells 18,727,0.272,100.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656,0.145,91.0,136,6,4.41,3.16 (1.19-5.13),130,95.59,3.21 (2.94-3.48),6.06,4.94
oligodendrocyte progenitor cells 7,4285,0.181,98.0,353,52,14.73,2.07 (1.73-2.42),301,85.27,4.32 (4.15-4.49),18.49,6.26
GABA neurons expressing GLU receptors 22,823,0.098,8.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,637,0.115,29.0,91,23,25.27,2.61 (1.72-3.51),68,74.73,5.35 (4.87-5.84),3.72,2.84
da like neurons 11,120,0.34,73.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,101,0.222,89.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,412,0.168,47.0,141,9,6.38,2.15 (1.50-2.80),132,93.62,3.02 (2.77-3.27),3.94,7.02
oligodendrocytes 20,233,0.213,60.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402,0.144,22.0,455,28,6.15,1.75 (1.15-2.36),427,93.85,4.53 (4.35-4.71),23.68,7.86
astrocytes 8,520,0.036,4.0,288,21,7.29,3.44 (2.61-4.27),267,92.71,4.22 (4.02-4.43),8.47,4.39
oligodendrocyte progenitor cells 12,3303,0.09,65.0,276,41,14.86,2.07 (1.78-2.35),235,85.14,3.90 (3.67-4.13),6.56,4.86
oligodendrocytes 10,2107,0.113,35.0,358,60,16.76,2.04 (1.73-2.35),298,83.24,4.40 (4.22-4.57),20.70,7.21
connective tissue cells 21,136,0.214,12.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,338,0.187,74.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,121,0.176,20.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,228,0.093,43.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,255,0.219,23.0,57,4,7.02,2.51 (1.92-3.10),53,92.98,2.66 (2.28-3.04),1.81,3.45
astrocytes 4,787,0.158,62.0,65,5,7.69,4.26 (3.54-4.98),60,92.31,2.82 (2.41-3.23),2.71,6.00
oligodendrocytes 0,613,0.119,24.0,127,11,8.66,1.84 (1.61-2.06),116,91.34,3.24 (2.78-3.71),2.86,6.60
microglia 1,958,0.122,66.0,290,11,3.79,1.72 (1.31-2.13),279,96.21,3.92 (3.69-4.15),5.59,4.98
oligodendrocytes 3,743,0.092,64.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.153,77.0,200,4,2.0,3.06 (1.50-4.63),196,98.0,3.64 (3.37-3.91),2.90,3.47
