tipo_celular,module_size,DYM_MM,DYM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.142,38.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,388,0.153,51.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1141,0.168,91.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70),6.49,4.51
oligodendrocyte progenitor cells 7,448,0.126,39.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,714,0.215,67.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,795,0.081,18.0,80,1,1.25,4.37 (NA-NA),79,98.75,5.70 (5.29-6.12),3.70,3.01
da like neurons 11,209,0.505,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.166,49.0,93,5,5.38,3.11 (2.23-4.00),88,94.62,5.30 (4.79-5.81),5.01,3.89
endothelial cells 9,1653,0.211,93.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,676,0.511,80.0,110,5,4.55,3.04 (2.11-3.98),105,95.45,5.13 (4.67-5.58),2.76,3.56
GABA like neurons 14,1300,0.17,32.0,306,11,3.59,2.52 (1.78-3.26),295,96.41,5.22 (4.96-5.49),8.30,6.65
astrocytes 8,140,0.259,82.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,153,0.44,64.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,130,0.414,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,250,0.123,2.0,117,8,6.84,2.82 (2.09-3.55),109,93.16,5.60 (5.21-5.99),3.61,3.75
astrocytes 15,1768,0.157,93.0,105,6,5.71,1.40 (0.74-2.06),99,94.29,3.33 (2.99-3.67),4.06,3.97
oligodendrocytes 16,153,0.388,61.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,398,0.107,26.0,138,7,5.07,2.35 (1.25-3.46),131,94.93,4.98 (4.61-5.35),2.34,2.76
astrocytes microglia 23,91,0.268,52.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,752,0.149,44.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,261,0.161,35.0,42,2,4.76,1.74 (1.73-1.75),40,95.24,4.22 (3.51-4.92),1.89,2.29
microglia 1,813,0.146,77.0,79,2,2.53,3.14 (1.37-4.92),77,97.47,3.10 (2.69-3.51),4.24,8.00
oligodendrocytes 3,116,0.265,44.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05),NA,1.47
oligodendrocytes 2,804,0.162,61.0,84,6,7.14,1.37 (0.67-2.07),78,92.86,2.79 (2.45-3.14),2.68,3.45
