tipo_celular,module_size,SPCS3_MM,SPCS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.192,68.0,97,6,6.19,4.44 (3.51-5.37),91,93.81,2.94 (2.53-3.35),4.49,4.93
T cells 18,393,0.141,43.0,59,1,1.69,4.02 (NA-NA),58,98.31,3.09 (2.58-3.60),3.10,5.38
astrocytes 5,228,0.124,23.0,266,20,7.52,2.02 (1.47-2.58),246,92.48,4.35 (4.15-4.55),6.43,4.86
oligodendrocyte progenitor cells 7,628,0.159,46.0,164,14,8.54,4.61 (3.59-5.64),150,91.46,4.02 (3.68-4.37),6.21,7.65
GABA neurons expressing GLU receptors 22,848,0.216,53.0,262,16,6.11,2.87 (2.15-3.60),246,93.89,4.28 (4.02-4.53),4.32,4.09
GLU like neurons 17,380,0.143,30.0,39,7,17.95,2.97 (2.17-3.77),32,82.05,2.97 (2.30-3.63),2.24,2.64
da like neurons 11,1220,0.207,59.0,410,30,7.32,3.79 (3.13-4.45),380,92.68,4.30 (4.10-4.49),9.19,7.38
GABA neurons expressing GABA receptors 13,93,0.138,34.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,559,0.141,43.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,253,0.141,39.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402,0.265,59.0,455,37,8.13,2.92 (2.27-3.57),418,91.87,4.52 (4.34-4.71),19.17,7.92
astrocytes 8,520,0.162,63.0,288,21,7.29,3.15 (2.40-3.89),267,92.71,4.28 (4.08-4.48),7.78,4.44
oligodendrocyte progenitor cells 12,1049,0.054,20.0,235,14,5.96,4.79 (3.82-5.76),221,94.04,3.75 (3.51-3.99),3.92,7.85
oligodendrocytes 10,735,0.212,91.0,277,4,1.44,4.70 (3.72-5.68),273,98.56,3.88 (3.63-4.12),5.71,8.99
connective tissue cells 21,139,0.309,53.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,367,0.253,96.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,313,0.158,24.0,291,17,5.84,3.80 (2.85-4.75),274,94.16,4.37 (4.14-4.60),6.17,3.67
da neurons 6,228,0.227,93.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,39,0.351,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.12,13.0,104,22,21.15,2.26 (1.64-2.87),82,78.85,3.04 (2.74-3.35),9.08,4.41
oligodendrocytes 0,2078,0.106,34.0,238,3,1.26,2.25 (-0.22-4.71),235,98.74,3.66 (3.44-3.88),7.12,5.00
microglia 1,813,0.16,83.0,79,8,10.13,3.67 (2.68-4.67),71,89.87,3.03 (2.59-3.46),3.36,8.41
oligodendrocytes 3,457,0.102,41.0,345,22,6.38,4.05 (3.31-4.78),323,93.62,4.29 (4.08-4.51),8.05,5.53
oligodendrocytes 2,528,0.215,58.0,175,10,5.71,3.97 (2.98-4.96),165,94.29,4.42 (4.05-4.79),7.09,4.47
