tipo_celular,module_size,TANC2_MM,TANC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.232,50.0,140,19,13.57,4.47 (3.75-5.20),121,86.43,4.57 (4.26-4.88),4.41,3.41
T cells 18,610,0.141,41.0,98,5,5.1,3.07 (0.95-5.18),93,94.9,3.12 (2.81-3.44),3.31,4.08
astrocytes 5,1141,0.125,40.0,166,1,0.6,0.21 (NA-NA),165,99.4,3.41 (3.16-3.66),3.05,4.56
oligodendrocyte progenitor cells 7,436,0.138,56.0,219,41,18.72,5.72 (5.06-6.37),178,81.28,5.06 (4.75-5.37),8.77,3.65
GABA neurons expressing GLU receptors 22,459,0.15,48.0,165,21,12.73,4.23 (2.90-5.56),144,87.27,5.19 (4.85-5.53),5.90,3.83
GLU like neurons 17,795,0.174,69.0,80,2,2.5,5.43 (3.35-7.51),78,97.5,5.69 (5.26-6.12),2.84,3.02
da like neurons 11,853,0.244,93.0,133,4,3.01,2.28 (0.88-3.67),129,96.99,3.29 (2.97-3.61),2.90,4.20
GABA neurons expressing GABA receptors 13,93,0.14,36.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.262,99.0,297,1,0.34,6.89 (NA-NA),296,99.66,3.66 (3.46-3.86),4.79,5.52
oligodendrocytes 20,676,0.62,90.0,110,39,35.45,5.12 (4.44-5.80),71,64.55,4.88 (4.28-5.47),4.78,2.83
GABA like neurons 14,1300,0.258,74.0,306,59,19.28,4.68 (4.01-5.35),247,80.72,5.22 (4.95-5.50),15.34,4.64
astrocytes 8,771,0.241,73.0,48,10,20.83,6.66 (5.10-8.22),38,79.17,3.76 (3.05-4.47),3.15,3.14
oligodendrocyte progenitor cells 12,411,0.178,56.0,103,20,19.42,6.07 (4.96-7.17),83,80.58,5.42 (5.03-5.82),3.90,2.89
oligodendrocytes 10,236,0.327,13.0,82,11,13.41,4.49 (3.32-5.66),71,86.59,5.08 (4.50-5.65),4.43,3.74
connective tissue cells 21,139,0.202,7.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,443,0.128,34.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,153,0.415,72.0,14,1,7.14,6.20 (NA-NA),13,92.86,4.54 (3.80-5.29),1.88,2.97
da neurons 6,398,0.224,75.0,138,30,21.74,4.54 (3.72-5.36),108,78.26,4.90 (4.48-5.31),3.40,2.55
astrocytes microglia 23,229,0.193,15.0,99,9,9.09,3.53 (2.72-4.33),90,90.91,4.39 (4.03-4.74),3.35,3.23
astrocytes 4,752,0.161,62.0,96,3,3.12,4.33 (3.16-5.50),93,96.88,3.25 (2.91-3.58),2.35,4.38
oligodendrocytes 0,261,0.287,94.0,42,16,38.1,3.57 (2.63-4.51),26,61.9,4.50 (3.51-5.48),2.28,2.27
microglia 1,346,0.279,90.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,116,0.34,94.0,7,4,57.14,3.09 (0.52-5.67),3,42.86,6.20 (NA-NA),1.49,1.45
oligodendrocytes 2,347,0.272,79.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
