tipo_celular,module_size,BCAP29_MM,BCAP29_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.269,80.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,282,0.125,33.0,241,2,0.83,3.86 (3.35-4.37),239,99.17,4.06 (3.80-4.31),3.59,4.35
astrocytes 5,1656,0.125,66.0,136,7,5.15,3.82 (3.36-4.28),129,94.85,3.17 (2.89-3.46),4.11,5.04
oligodendrocyte progenitor cells 7,4285,0.153,77.0,353,21,5.95,2.33 (1.65-3.00),332,94.05,4.02 (3.83-4.21),27.81,6.81
GABA neurons expressing GLU receptors 22,714,0.257,83.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,380,0.258,93.0,39,6,15.38,3.22 (2.26-4.18),33,84.62,2.92 (2.28-3.55),2.77,2.53
da like neurons 11,1220,0.135,31.0,410,15,3.66,3.37 (2.69-4.05),395,96.34,4.29 (4.10-4.49),10.32,7.41
GABA neurons expressing GABA receptors 13,70,0.136,25.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,559,0.106,27.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,938,0.115,44.0,169,10,5.92,2.98 (2.14-3.82),159,94.08,3.52 (3.29-3.75),3.78,5.46
GABA like neurons 14,2402,0.202,42.0,455,23,5.05,2.89 (2.16-3.62),432,94.95,4.45 (4.26-4.64),24.17,8.02
astrocytes 8,283,0.115,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.066,34.0,276,11,3.99,3.14 (2.49-3.80),265,96.01,3.56 (3.34-3.79),10.34,4.89
oligodendrocytes 10,806,0.146,45.0,261,12,4.6,3.12 (2.21-4.02),249,95.4,4.45 (4.20-4.69),7.37,6.00
connective tissue cells 21,88,0.211,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367,0.062,15.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05),1.87,3.39
oligodendrocytes 16,107,0.18,18.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,409,0.086,21.0,235,1,0.43,4.12 (NA-NA),234,99.57,3.97 (3.72-4.23),7.59,4.40
astrocytes microglia 23,116,0.224,9.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,787,0.168,80.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.107,36.0,238,6,2.52,2.95 (1.51-4.40),232,97.48,3.66 (3.43-3.88),9.24,4.91
microglia 1,1615,0.08,9.0,161,10,6.21,1.17 (0.45-1.88),151,93.79,3.45 (3.18-3.71),14.00,4.86
oligodendrocytes 3,854,0.076,33.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,528,0.194,47.0,175,9,5.14,3.02 (2.38-3.66),166,94.86,4.49 (4.13-4.86),8.10,4.43
