tipo_celular,module_size,ELOVL5_MM,ELOVL5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.267,78.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,477,0.416,99.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423,0.492,100.0,80,4,5.0,3.85 (2.01-5.68),76,95.0,3.37 (2.88-3.87),2.25,5.17
oligodendrocyte progenitor cells 7,666,0.494,97.0,127,8,6.3,2.35 (1.24-3.46),119,93.7,3.98 (3.65-4.32),4.69,5.92
GABA neurons expressing GLU receptors 22,823,0.178,49.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,637,0.178,57.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51),3.48,3.02
da like neurons 11,89,0.235,46.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,86,0.106,18.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,586,0.202,47.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,938,0.149,61.0,169,13,7.69,2.85 (2.07-3.63),156,92.31,3.55 (3.32-3.77),4.29,5.45
GABA like neurons 14,3052,0.134,45.0,125,2,1.6,3.56 (3.56-3.56),123,98.4,3.35 (3.02-3.68),4.11,8.69
astrocytes 8,577,0.359,99.0,83,5,6.02,2.20 (1.25-3.15),78,93.98,3.34 (2.86-3.81),2.35,4.61
oligodendrocyte progenitor cells 12,3303,0.077,49.0,276,20,7.25,2.04 (1.61-2.47),256,92.75,3.70 (3.47-3.92),8.04,4.88
oligodendrocytes 10,2107,0.117,37.0,358,27,7.54,1.46 (1.11-1.81),331,92.46,4.13 (3.95-4.31),24.95,8.21
connective tissue cells 21,73,0.252,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.117,77.0,105,14,13.33,2.14 (1.47-2.81),91,86.67,3.39 (3.03-3.75),4.53,3.89
oligodendrocytes 16,113,0.182,52.0,11,3,27.27,3.82 (3.82-3.82),8,72.73,0.96 (0.19-1.74),1.56,1.80
da neurons 6,518,0.228,98.0,122,22,18.03,3.16 (2.03-4.29),100,81.97,4.20 (3.81-4.59),5.11,3.12
astrocytes microglia 23,327,0.58,95.0,120,16,13.33,1.62 (1.13-2.11),104,86.67,4.00 (3.72-4.28),3.58,2.67
astrocytes 4,514,0.587,100.0,95,7,7.37,2.70 (1.23-4.17),88,92.63,3.44 (3.00-3.88),2.57,4.81
oligodendrocytes 0,309,0.183,82.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,958,0.269,100.0,290,7,2.41,1.93 (1.07-2.79),283,97.59,3.87 (3.64-4.10),5.52,4.99
oligodendrocytes 3,854,0.133,86.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804,0.153,53.0,84,6,7.14,1.79 (0.74-2.84),78,92.86,2.78 (2.43-3.12),4.05,3.35
