tipo_celular,module_size,GALNT11_MM,GALNT11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.118,4.0,21,6,28.57,0.64 (0.20-1.08),15,71.43,3.01 (2.47-3.55),2.56,1.78
T cells 18,727,0.216,92.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1141,0.111,23.0,166,14,8.43,2.01 (1.36-2.67),152,91.57,3.55 (3.29-3.80),5.44,4.47
oligodendrocyte progenitor cells 7,4285,0.152,75.0,353,31,8.78,1.86 (1.45-2.28),322,91.22,4.15 (3.97-4.33),24.27,6.50
GABA neurons expressing GLU receptors 22,400,0.204,54.0,24,9,37.5,1.07 (0.48-1.66),15,62.5,2.81 (2.31-3.31),5.32,2.54
GLU like neurons 17,1247,0.154,64.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,109,0.143,25.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,200,0.093,6.0,34,1,2.94,3.41 (NA-NA),33,97.06,3.91 (2.99-4.82),1.55,3.55
endothelial cells 9,1653,0.076,11.0,297,3,1.01,3.12 (1.95-4.29),294,98.99,3.68 (3.47-3.88),4.03,5.53
oligodendrocytes 20,275,0.297,78.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,1300,0.062,4.0,306,27,8.82,2.59 (2.17-3.02),279,91.18,5.47 (5.22-5.72),8.00,6.58
astrocytes 8,283,0.148,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.062,30.0,276,19,6.88,2.04 (1.58-2.51),257,93.12,3.69 (3.47-3.91),9.98,4.75
oligodendrocytes 10,735,0.074,33.0,277,1,0.36,3.85 (NA-NA),276,99.64,3.89 (3.65-4.14),2.43,8.97
connective tissue cells 21,92,0.229,19.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1401,0.099,62.0,96,5,5.21,3.43 (2.70-4.17),91,94.79,3.62 (3.15-4.10),3.48,3.81
oligodendrocytes 16,158,0.246,78.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,553,0.127,51.0,124,3,2.42,2.03 (0.43-3.63),121,97.58,4.26 (3.86-4.65),2.65,3.04
astrocytes microglia 23,63,0.25,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.126,12.0,65,5,7.69,4.26 (3.54-4.98),60,92.31,2.82 (2.41-3.23),2.71,6.00
oligodendrocytes 0,2078,0.098,19.0,238,8,3.36,2.54 (1.84-3.24),230,96.64,3.68 (3.46-3.91),7.56,4.93
microglia 1,480,0.103,6.0,163,8,4.91,2.87 (2.44-3.30),155,95.09,3.76 (3.48-4.04),5.20,5.17
oligodendrocytes 3,743,0.053,11.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,347,0.158,28.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
