tipo_celular,module_size,BIN1_MM,BIN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.161,31.0,98,9,9.18,1.63 (1.07-2.20),89,90.82,3.45 (2.94-3.96),9.10,13.90
T cells 18,349,0.261,73.0,68,26,38.24,3.72 (2.92-4.52),42,61.76,4.85 (4.12-5.58),3.03,3.49
astrocytes 5,165,0.216,62.0,51,3,5.88,5.72 (4.51-6.93),48,94.12,5.33 (4.63-6.03),2.12,3.00
oligodendrocyte progenitor cells 7,229,0.276,79.0,45,3,6.67,5.19 (NA-NA),42,93.33,5.00 (4.36-5.63),2.60,5.55
GABA neurons expressing GLU receptors 22,567,0.18,45.0,16,5,31.25,2.47 (2.02-2.92),11,68.75,1.77 (0.87-2.68),1.51,4.60
GLU like neurons 17,637,0.152,48.0,91,33,36.26,3.01 (2.33-3.70),58,63.74,5.77 (5.28-6.26),3.25,2.95
da like neurons 11,120,0.096,11.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,288,0.139,32.0,93,33,35.48,3.76 (3.15-4.38),60,64.52,6.05 (5.48-6.62),4.55,3.62
endothelial cells 9,450,0.367,76.0,74,20,27.03,4.96 (4.21-5.72),54,72.97,5.63 (4.94-6.31),3.94,3.53
oligodendrocytes 20,676,0.273,50.0,110,39,35.45,4.17 (3.57-4.78),71,64.55,5.59 (5.01-6.17),4.05,3.24
GABA like neurons 14,3052,0.143,54.0,125,2,1.6,3.74 (NA-NA),123,98.4,3.35 (3.02-3.67),2.00,8.72
astrocytes 8,771,0.368,86.0,48,6,12.5,4.84 (2.83-6.85),42,87.5,4.37 (3.55-5.19),1.65,3.36
oligodendrocyte progenitor cells 12,708,0.384,92.0,32,13,40.62,1.72 (1.00-2.45),19,59.38,4.39 (3.39-5.38),3.20,2.19
oligodendrocytes 10,236,0.54,64.0,82,17,20.73,5.16 (4.23-6.10),65,79.27,4.94 (4.32-5.56),3.07,4.04
connective tissue cells 21,250,0.382,68.0,117,39,33.33,4.32 (3.78-4.86),78,66.67,6.07 (5.61-6.54),3.56,3.83
astrocytes 15,458,0.275,90.0,36,2,5.56,NA,34,94.44,3.77 (2.68-4.85),2.06,2.60
oligodendrocytes 16,287,0.442,88.0,105,45,42.86,4.21 (3.62-4.80),60,57.14,6.10 (5.60-6.60),4.04,3.04
da neurons 6,307,0.095,25.0,95,15,15.79,4.98 (4.52-5.43),80,84.21,4.82 (4.30-5.34),2.31,3.56
astrocytes microglia 23,132,0.197,1.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,102,0.19,50.0,42,2,4.76,5.19 (NA-NA),40,95.24,5.70 (4.96-6.44),3.07,3.17
oligodendrocytes 0,261,0.181,46.0,42,31,73.81,3.80 (2.98-4.61),11,26.19,5.20 (4.80-5.61),2.23,2.40
microglia 1,813,0.214,95.0,79,4,5.06,3.16 (2.44-3.89),75,94.94,3.10 (2.67-3.52),2.79,8.17
oligodendrocytes 3,127,0.246,47.0,45,19,42.22,4.16 (3.14-5.17),26,57.78,4.62 (3.01-6.22),2.27,8.59
oligodendrocytes 2,348,0.172,39.0,114,40,35.09,4.69 (4.14-5.23),74,64.91,5.39 (4.83-5.96),4.90,4.12
