tipo_celular,module_size,RAB3GAP1_MM,RAB3GAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.191,77.0,71,7,9.86,3.17 (1.44-4.90),64,90.14,2.55 (2.14-2.96),1.76,3.78
T cells 18,610,0.119,24.0,98,33,33.67,2.40 (1.81-3.00),65,66.33,3.53 (3.21-3.84),4.98,3.56
astrocytes 5,1141,0.127,43.0,166,32,19.28,2.85 (2.26-3.44),134,80.72,3.54 (3.27-3.81),3.79,4.73
oligodendrocyte progenitor cells 7,4285,0.161,86.0,353,66,18.7,2.78 (2.34-3.23),287,81.3,4.20 (4.02-4.39),15.24,6.41
GABA neurons expressing GLU receptors 22,203,0.198,24.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,380,0.105,8.0,39,6,15.38,3.86 (2.19-5.53),33,84.62,2.79 (2.22-3.35),2.20,2.64
da like neurons 11,120,0.395,85.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,93,0.109,12.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.112,38.0,297,4,1.35,4.68 (2.94-6.43),293,98.65,3.66 (3.46-3.87),2.98,5.55
oligodendrocytes 20,233,0.139,23.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052,0.109,24.0,125,4,3.2,3.41 (2.61-4.21),121,96.8,3.35 (3.02-3.68),2.67,8.81
astrocytes 8,520,0.096,40.0,288,60,20.83,4.05 (3.61-4.49),228,79.17,4.21 (3.98-4.43),7.72,3.89
oligodendrocyte progenitor cells 12,3303,0.094,69.0,276,49,17.75,2.83 (2.41-3.26),227,82.25,3.75 (3.51-3.99),7.32,4.63
oligodendrocytes 10,2107,0.07,13.0,358,71,19.83,2.80 (2.35-3.25),287,80.17,4.20 (4.01-4.39),14.63,8.20
connective tissue cells 21,91,0.209,13.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,1768,0.098,61.0,105,28,26.67,2.78 (2.10-3.45),77,73.33,3.39 (3.01-3.77),4.34,3.85
oligodendrocytes 16,64,0.172,34.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,300,0.164,50.0,159,13,8.18,6.26 (5.64-6.88),146,91.82,4.18 (3.86-4.49),2.60,3.83
astrocytes microglia 23,190,0.281,60.0,7,1,14.29,NA,6,85.71,4.84 (3.75-5.92),1.94,1.79
astrocytes 4,752,0.178,87.0,96,9,9.38,2.59 (2.00-3.19),87,90.62,3.38 (3.02-3.74),2.75,4.48
oligodendrocytes 0,1186,0.144,47.0,300,19,6.33,4.48 (3.65-5.32),281,93.67,3.74 (3.53-3.95),3.24,4.22
microglia 1,1615,0.1,35.0,161,47,29.19,2.89 (2.27-3.52),114,70.81,3.46 (3.21-3.71),7.02,4.78
oligodendrocytes 3,681,0.091,47.0,87,23,26.44,1.78 (1.35-2.22),64,73.56,2.89 (2.58-3.19),4.02,4.32
oligodendrocytes 2,804,0.129,22.0,84,14,16.67,2.02 (1.27-2.77),70,83.33,2.82 (2.45-3.19),2.49,3.58
