tipo_celular,module_size,NDUFA10_MM,NDUFA10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.1,12.0,71,6,8.45,1.83 (1.03-2.63),65,91.55,2.71 (2.27-3.15),1.85,3.74
T cells 18,282,0.089,16.0,241,29,12.03,3.63 (3.40-3.87),212,87.97,4.14 (3.85-4.44),5.60,4.17
astrocytes 5,1141,0.093,9.0,166,8,4.82,1.53 (0.78-2.27),158,95.18,3.51 (3.26-3.76),4.75,4.54
oligodendrocyte progenitor cells 7,296,0.097,5.0,251,32,12.75,3.69 (3.50-3.88),219,87.25,4.15 (3.87-4.44),6.83,6.06
GABA neurons expressing GLU receptors 22,599,0.203,45.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,1247,0.136,51.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,59,0.205,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,73,0.148,37.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,338,0.083,21.0,191,6,3.14,2.69 (2.27-3.11),185,96.86,3.93 (3.71-4.16),2.49,9.37
oligodendrocytes 20,221,0.155,32.0,12,1,8.33,NA,11,91.67,2.42 (0.83-4.00),1.81,4.45
GABA like neurons 14,2402,0.08,4.0,455,79,17.36,3.55 (3.20-3.89),376,82.64,4.57 (4.36-4.78),17.54,7.01
astrocytes 8,520,0.081,32.0,288,48,16.67,3.72 (3.47-3.96),240,83.33,4.30 (4.05-4.54),4.44,4.73
oligodendrocyte progenitor cells 12,3303,0.079,50.0,276,13,4.71,2.27 (1.74-2.80),263,95.29,3.63 (3.40-3.85),8.79,4.93
oligodendrocytes 10,806,0.161,51.0,261,41,15.71,3.74 (3.34-4.14),220,84.29,4.52 (4.24-4.80),4.31,6.39
connective tissue cells 21,110,0.35,84.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11),1.94,1.68
astrocytes 15,1401,0.071,35.0,96,2,2.08,2.56 (1.91-3.20),94,97.92,3.64 (3.18-4.10),4.11,3.79
oligodendrocytes 16,313,0.134,14.0,291,17,5.84,3.22 (2.82-3.63),274,94.16,4.42 (4.18-4.65),3.45,3.84
da neurons 6,409,0.209,80.0,235,48,20.43,3.68 (3.41-3.94),187,79.57,4.09 (3.76-4.42),4.92,4.28
astrocytes microglia 23,112,0.328,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.148,44.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,1186,0.106,7.0,300,1,0.33,2.89 (NA-NA),299,99.67,3.80 (3.59-4.00),1.46,4.16
microglia 1,214,0.074,3.0,227,65,28.63,3.80 (3.55-4.06),162,71.37,4.26 (3.92-4.60),9.11,4.92
oligodendrocytes 3,457,0.052,8.0,345,9,2.61,2.69 (2.12-3.27),336,97.39,4.33 (4.12-4.54),3.64,5.75
oligodendrocytes 2,526,0.051,1.0,213,60,28.17,4.10 (3.84-4.37),153,71.83,3.92 (3.53-4.31),8.93,7.55
