tipo_celular,module_size,GAS6_MM,GAS6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.247,81.0,32,6,18.75,3.88 (2.88-4.88),26,81.25,3.68 (2.71-4.65),3.26,3.69
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.114,46.0,136,8,5.88,2.28 (1.64-2.93),128,94.12,3.27 (2.99-3.56),5.58,4.95
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,714.0,0.135,22.0,17,5,29.41,2.20 (2.10-2.31),12,70.59,2.35 (1.51-3.19),2.22,4.13
GLU like neurons 17,300.0,0.268,94.0,16,3,18.75,2.29 (2.29-2.29),13,81.25,2.02 (0.93-3.12),1.82,2.62
da like neurons 11,1220.0,0.081,7.0,410,51,12.44,3.97 (3.51-4.43),359,87.56,4.29 (4.09-4.49),10.36,7.11
GABA neurons expressing GABA receptors 13,357.0,0.214,71.0,237,16,6.75,4.14 (3.57-4.70),221,93.25,4.43 (4.18-4.67),4.38,4.17
endothelial cells 9,559.0,0.211,67.0,155,5,3.23,3.92 (3.19-4.64),150,96.77,4.36 (3.98-4.74),2.38,4.40
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.238,53.0,455,59,12.97,3.36 (2.77-3.94),396,87.03,4.51 (4.33-4.70),16.96,7.62
astrocytes 8,520.0,0.106,45.0,288,52,18.06,3.73 (3.31-4.16),236,81.94,4.27 (4.05-4.50),8.86,3.76
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,301.0,0.4,56.0,158,41,25.95,4.86 (4.21-5.51),117,74.05,4.00 (3.56-4.43),4.46,7.98
astrocytes 15,338.0,0.12,26.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.101,40.0,122,32,26.23,2.55 (2.08-3.02),90,73.77,4.61 (4.16-5.06),4.39,3.16
astrocytes microglia 23,41.0,0.47,93.0,3,0,0.0,NA,3,100.0,NA,NA,1.65
astrocytes 4,1807.0,0.154,68.0,104,28,26.92,2.13 (1.72-2.54),76,73.08,3.16 (2.83-3.50),8.66,4.20
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.136,70.0,79,5,6.33,4.13 (2.04-6.22),74,93.67,3.02 (2.62-3.43),2.72,8.25
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
