tipo_celular,module_size,EFR3A_MM,EFR3A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.227,77.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,610,0.149,48.0,98,10,10.2,2.01 (1.08-2.95),88,89.8,3.26 (2.94-3.58),5.82,3.83
astrocytes 5,1141,0.143,68.0,166,3,1.81,0.65 (0.21-1.10),163,98.19,3.45 (3.20-3.70),2.72,4.58
oligodendrocyte progenitor cells 7,4285,0.176,96.0,353,19,5.38,3.34 (2.37-4.30),334,94.62,3.93 (3.74-4.12),19.07,7.44
GABA neurons expressing GLU receptors 22,848,0.245,63.0,262,5,1.91,2.47 (0.40-4.53),257,98.09,4.20 (3.96-4.45),3.56,4.11
GLU like neurons 17,795,0.143,56.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,197,0.149,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,70,0.113,9.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,1653,0.137,58.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,275,0.302,79.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.158,27.0,455,11,2.42,2.53 (1.54-3.52),444,97.58,4.40 (4.22-4.59),21.15,8.53
astrocytes 8,727,0.086,35.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.115,86.0,276,15,5.43,4.09 (3.09-5.08),261,94.57,3.50 (3.28-3.72),6.64,5.02
oligodendrocytes 10,735,0.09,46.0,277,2,0.72,3.77 (3.67-3.86),275,99.28,3.89 (3.65-4.14),3.48,8.99
connective tissue cells 21,110,0.286,60.0,13,3,23.08,3.42 (0.75-6.10),10,76.92,3.02 (2.19-3.86),1.74,1.69
astrocytes 15,338,0.16,57.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,91,0.232,74.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,307,0.13,60.0,95,1,1.05,5.64 (NA-NA),94,98.95,4.83 (4.39-5.28),2.16,3.38
astrocytes microglia 23,255,0.181,7.0,57,1,1.75,2.54 (NA-NA),56,98.25,2.65 (2.29-3.02),3.46,3.33
astrocytes 4,752,0.154,50.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,2078,0.122,66.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88),8.21,5.00
microglia 1,958,0.159,93.0,290,6,2.07,3.31 (2.79-3.83),284,97.93,3.83 (3.59-4.06),6.06,4.98
oligodendrocytes 3,854,0.114,75.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804,0.132,26.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12),3.23,3.40
