tipo_celular,module_size,MICAL3_MM,MICAL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.307,81.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.183,50.0,68,5,7.35,2.20 (1.80-2.60),63,92.65,4.55 (3.98-5.12),3.88,3.27
astrocytes 5,499,0.124,24.0,32,1,3.12,NA,31,96.88,5.02 (4.53-5.52),1.81,3.86
oligodendrocyte progenitor cells 7,229,0.168,39.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,192,0.096,23.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44),NA,3.32
GLU like neurons 17,1247,0.242,93.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25),3.35,3.23
da like neurons 11,853,0.277,96.0,133,17,12.78,2.36 (1.51-3.22),116,87.22,3.41 (3.08-3.74),5.10,4.02
GABA neurons expressing GABA receptors 13,288,0.168,50.0,93,6,6.45,3.35 (2.00-4.71),87,93.55,5.28 (4.77-5.79),3.25,4.00
endothelial cells 9,450,0.246,60.0,74,3,4.05,3.88 (1.74-6.02),71,95.95,5.57 (5.00-6.13),3.39,3.65
oligodendrocytes 20,676,0.623,91.0,110,8,7.27,4.27 (2.80-5.74),102,92.73,5.05 (4.58-5.52),4.18,3.47
GABA like neurons 14,1300,0.358,98.0,306,16,5.23,3.07 (2.13-4.00),290,94.77,5.24 (4.98-5.50),5.33,6.78
astrocytes 8,771,0.223,70.0,48,3,6.25,5.69 (5.36-6.03),45,93.75,4.32 (3.52-5.13),1.88,3.23
oligodendrocyte progenitor cells 12,708,0.32,87.0,32,9,28.12,1.36 (0.54-2.17),23,71.88,4.14 (3.26-5.02),3.63,2.19
oligodendrocytes 10,236,0.644,89.0,82,5,6.1,5.41 (4.81-6.01),77,93.9,4.97 (4.41-5.52),3.57,3.85
connective tissue cells 21,106,0.217,16.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,458,0.13,67.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85),1.97,2.59
oligodendrocytes 16,287,0.435,86.0,105,11,10.48,3.95 (2.78-5.11),94,89.52,5.24 (4.77-5.72),5.47,3.23
da neurons 6,398,0.138,46.0,138,12,8.7,3.07 (1.98-4.17),126,91.3,5.01 (4.63-5.38),3.12,2.70
astrocytes microglia 23,140,0.298,42.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,251,0.153,42.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,261,0.217,74.0,42,9,21.43,3.76 (2.19-5.33),33,78.57,4.15 (3.36-4.93),2.72,2.15
microglia 1,127,0.22,62.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12),2.39,2.48
oligodendrocytes 3,127,0.155,12.0,45,3,6.67,2.53 (2.34-2.73),42,93.33,4.46 (3.57-5.36),1.75,6.22
oligodendrocytes 2,407,0.215,91.0,122,16,13.11,1.74 (1.12-2.36),106,86.89,3.65 (3.24-4.06),4.36,2.45
