tipo_celular,module_size,LDHB_MM,LDHB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.263,82.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,282,0.17,54.0,241,2,0.83,4.15 (-0.42-8.73),239,99.17,4.05 (3.80-4.30),5.89,4.33
astrocytes 5,228,0.205,65.0,266,24,9.02,1.91 (1.39-2.43),242,90.98,4.36 (4.16-4.56),9.44,4.54
oligodendrocyte progenitor cells 7,296,0.271,83.0,251,2,0.8,4.95 (1.95-7.96),249,99.2,4.05 (3.82-4.29),2.56,6.18
GABA neurons expressing GLU receptors 22,848,0.411,93.0,262,12,4.58,2.00 (0.90-3.10),250,95.42,4.26 (4.01-4.50),10.97,3.77
GLU like neurons 17,1316,0.171,84.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43),2.46,3.07
da like neurons 11,1220,0.407,93.0,410,19,4.63,2.49 (1.90-3.08),391,95.37,4.34 (4.15-4.53),21.85,6.82
GABA neurons expressing GABA receptors 13,357,0.275,85.0,237,4,1.69,5.21 (4.38-6.05),233,98.31,4.39 (4.15-4.63),1.95,4.22
endothelial cells 9,338,0.222,76.0,191,1,0.52,4.99 (NA-NA),190,99.48,3.88 (3.65-4.10),1.92,9.20
oligodendrocytes 20,938,0.138,56.0,169,17,10.06,2.43 (1.73-3.13),152,89.94,3.59 (3.37-3.81),8.57,5.00
GABA like neurons 14,2402,0.61,96.0,455,25,5.49,1.80 (1.23-2.36),430,94.51,4.52 (4.34-4.70),30.85,7.55
astrocytes 8,520,0.296,87.0,288,16,5.56,2.16 (1.52-2.81),272,94.44,4.29 (4.09-4.48),11.53,4.28
oligodendrocyte progenitor cells 12,1049,0.134,70.0,235,13,5.53,2.94 (2.23-3.65),222,94.47,3.87 (3.63-4.11),12.19,7.35
oligodendrocytes 10,806,0.375,88.0,261,13,4.98,2.16 (1.82-2.50),248,95.02,4.47 (4.23-4.71),7.29,6.00
connective tissue cells 21,101,0.296,43.0,116,15,12.93,2.23 (1.82-2.64),101,87.07,4.98 (4.57-5.39),3.22,3.22
astrocytes 15,367,0.248,95.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,313,0.456,92.0,291,3,1.03,2.93 (-0.63-6.48),288,98.97,4.34 (4.12-4.57),5.60,3.80
da neurons 6,409,0.398,100.0,235,19,8.09,3.58 (2.83-4.32),216,91.91,4.02 (3.75-4.28),7.94,4.11
astrocytes microglia 23,111,0.282,26.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,157,0.148,24.0,178,21,11.8,1.98 (1.39-2.58),157,88.2,4.46 (4.21-4.71),7.12,4.15
oligodendrocytes 0,116,0.152,46.0,169,1,0.59,6.49 (NA-NA),168,99.41,4.26 (3.96-4.56),1.37,6.52
microglia 1,214,0.294,78.0,227,16,7.05,3.21 (2.40-4.01),211,92.95,4.16 (3.92-4.40),12.56,5.63
oligodendrocytes 3,457,0.247,89.0,345,8,2.32,3.17 (1.87-4.48),337,97.68,4.29 (4.08-4.50),26.51,5.20
oligodendrocytes 2,99,0.267,55.0,116,1,0.86,3.42 (NA-NA),115,99.14,3.96 (3.66-4.27),3.33,7.27
