tipo_celular,module_size,KPNB1_MM,KPNB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.147,37.0,140,16,11.43,3.17 (2.44-3.90),124,88.57,4.64 (4.19-5.09),3.54,3.58
T cells 18,282,0.092,18.0,241,8,3.32,3.57 (2.70-4.44),233,96.68,4.08 (3.82-4.34),2.60,4.40
astrocytes 5,228,0.096,6.0,266,51,19.17,2.67 (2.26-3.07),215,80.83,4.46 (4.25-4.67),7.87,4.29
oligodendrocyte progenitor cells 7,296,0.121,14.0,251,10,3.98,4.51 (4.03-4.99),241,96.02,4.05 (3.81-4.30),4.46,6.22
GABA neurons expressing GLU receptors 22,848,0.376,89.0,262,42,16.03,3.07 (2.60-3.54),220,83.97,4.33 (4.07-4.60),7.17,3.52
GLU like neurons 17,1247,0.11,32.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,1220,0.184,51.0,410,44,10.73,3.26 (2.85-3.68),366,89.27,4.36 (4.16-4.56),13.59,6.78
GABA neurons expressing GABA receptors 13,357,0.113,23.0,237,16,6.75,3.89 (3.25-4.53),221,93.25,4.44 (4.20-4.68),4.64,4.15
endothelial cells 9,385,0.107,55.0,275,49,17.82,2.75 (2.18-3.32),226,82.18,4.25 (3.98-4.53),8.72,5.27
oligodendrocytes 20,322,0.099,37.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402,0.146,23.0,455,64,14.07,2.86 (2.45-3.26),391,85.93,4.60 (4.41-4.79),17.97,7.34
astrocytes 8,520,0.115,49.0,288,49,17.01,3.22 (2.86-3.58),239,82.99,4.35 (4.13-4.57),9.91,3.61
oligodendrocyte progenitor cells 12,3303,0.133,95.0,276,44,15.94,2.85 (2.46-3.24),232,84.06,3.69 (3.44-3.94),9.87,4.21
oligodendrocytes 10,735,0.207,90.0,277,5,1.81,NA,272,98.19,3.89 (3.65-4.14),3.23,9.05
connective tissue cells 21,101,0.225,25.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,443,0.123,28.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88),3.73,1.79
oligodendrocytes 16,113,0.215,56.0,10,1,10.0,1.82 (NA-NA),9,90.0,3.06 (2.20-3.93),3.85,1.67
da neurons 6,300,0.144,45.0,159,1,0.63,2.68 (NA-NA),158,99.37,4.38 (4.07-4.69),2.02,3.74
astrocytes microglia 23,53,0.207,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.164,75.0,61,5,8.2,3.08 (1.86-4.30),56,91.8,2.96 (2.52-3.39),2.36,6.35
oligodendrocytes 0,613,0.14,48.0,127,18,14.17,3.62 (3.07-4.16),109,85.83,2.94 (2.46-3.42),3.79,6.69
microglia 1,813,0.123,58.0,79,7,8.86,3.07 (2.49-3.66),72,91.14,3.10 (2.66-3.55),3.33,8.35
oligodendrocytes 3,457,0.082,29.0,345,44,12.75,3.12 (2.80-3.44),301,87.25,4.44 (4.21-4.66),11.55,4.84
oligodendrocytes 2,528,0.189,43.0,175,23,13.14,3.13 (2.57-3.68),152,86.86,4.51 (4.14-4.88),11.13,3.63
