tipo_celular,module_size,TOMM20_MM,TOMM20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.25,67.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,624,0.098,11.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,228,0.191,57.0,266,42,15.79,2.68 (2.28-3.07),224,84.21,4.50 (4.30-4.71),5.58,4.87
oligodendrocyte progenitor cells 7,628,0.193,66.0,164,10,6.1,3.56 (2.65-4.48),154,93.9,4.13 (3.79-4.48),3.92,7.76
GABA neurons expressing GLU receptors 22,848,0.393,90.0,262,19,7.25,3.48 (2.78-4.18),243,92.75,4.24 (3.97-4.50),4.87,4.04
GLU like neurons 17,1316,0.08,13.0,101,4,3.96,4.13 (2.66-5.61),97,96.04,3.00 (2.64-3.35),2.53,3.08
da like neurons 11,1220,0.298,81.0,410,41,10.0,3.71 (3.26-4.16),369,90.0,4.33 (4.13-4.54),10.52,7.18
GABA neurons expressing GABA receptors 13,200,0.234,90.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,338,0.144,56.0,191,6,3.14,3.26 (2.09-4.44),185,96.86,3.91 (3.68-4.14),4.00,9.33
oligodendrocytes 20,330,0.126,29.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,2402,0.619,96.0,455,42,9.23,3.24 (2.73-3.76),413,90.77,4.50 (4.31-4.70),18.98,7.80
astrocytes 8,520,0.185,68.0,288,37,12.85,3.38 (2.97-3.79),251,87.15,4.33 (4.11-4.55),6.80,4.37
oligodendrocyte progenitor cells 12,1049,0.081,42.0,235,12,5.11,4.12 (3.30-4.94),223,94.89,3.80 (3.56-4.04),4.87,7.76
oligodendrocytes 10,806,0.296,79.0,261,21,8.05,3.23 (2.66-3.80),240,91.95,4.50 (4.25-4.76),6.53,6.02
connective tissue cells 21,111,0.382,94.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261,0.195,78.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,313,0.189,36.0,291,41,14.09,3.78 (3.40-4.17),250,85.91,4.45 (4.19-4.71),5.32,3.57
da neurons 6,553,0.148,65.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64),2.89,3.03
astrocytes microglia 23,39,0.291,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,157,0.138,18.0,178,31,17.42,2.58 (2.12-3.04),147,82.58,4.62 (4.36-4.88),4.71,4.45
oligodendrocytes 0,613,0.165,70.0,127,8,6.3,3.79 (3.07-4.52),119,93.7,2.97 (2.52-3.42),3.14,6.49
microglia 1,214,0.162,45.0,227,18,7.93,3.70 (3.03-4.36),209,92.07,4.14 (3.89-4.39),5.61,6.16
oligodendrocytes 3,743,0.112,81.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528,0.3,85.0,175,5,2.86,2.69 (1.39-4.00),170,97.14,4.45 (4.10-4.81),8.16,4.52
