tipo_celular,module_size,DYRK1A_MM,DYRK1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.177,28.0,18,1,5.56,4.08 (NA-NA),17,94.44,1.92 (1.48-2.35),1.56,3.37
T cells 18,388,0.189,68.0,84,9,10.71,2.64 (2.25-3.03),75,89.29,3.02 (2.65-3.38),2.12,4.59
astrocytes 5,1141,0.167,90.0,166,59,35.54,2.71 (2.40-3.02),107,64.46,3.86 (3.53-4.19),5.36,4.10
oligodendrocyte progenitor cells 7,448,0.143,51.0,108,2,1.85,3.55 (NA-NA),106,98.15,3.25 (2.81-3.70),1.63,17.41
GABA neurons expressing GLU receptors 22,400,0.114,9.0,24,7,29.17,0.72 (0.28-1.16),17,70.83,2.75 (2.29-3.21),5.83,2.66
GLU like neurons 17,1316,0.14,65.0,101,5,4.95,2.80 (2.61-2.99),96,95.05,3.07 (2.70-3.43),2.43,3.09
da like neurons 11,408,0.069,6.0,25,14,56.0,3.81 (2.20-5.42),11,44.0,6.49 (4.98-8.00),2.35,2.18
GABA neurons expressing GABA receptors 13,288,0.133,27.0,93,19,20.43,3.51 (2.55-4.46),74,79.57,5.59 (5.07-6.10),4.20,3.88
endothelial cells 9,1653,0.197,89.0,297,15,5.05,3.94 (3.34-4.55),282,94.95,3.66 (3.45-3.87),5.65,5.51
oligodendrocytes 20,271,0.281,83.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,1300,0.129,16.0,306,57,18.63,3.55 (3.09-4.00),249,81.37,5.53 (5.25-5.80),8.31,6.34
astrocytes 8,577,0.092,56.0,83,9,10.84,2.98 (1.37-4.59),74,89.16,3.28 (2.81-3.75),2.48,4.71
oligodendrocyte progenitor cells 12,138,0.536,90.0,5,3,60.0,4.33 (4.33-4.33),2,40.0,NA,2.70,1.66
oligodendrocytes 10,2107,0.412,98.0,358,96,26.82,2.51 (2.24-2.77),262,73.18,4.52 (4.33-4.72),19.92,5.64
connective tissue cells 21,114,0.237,28.0,11,3,27.27,2.25 (-0.64-5.14),8,72.73,1.33 (0.31-2.35),2.32,2.07
astrocytes 15,261,0.143,47.0,8,3,37.5,0.32 (0.20-0.45),5,62.5,5.02 (3.40-6.64),2.14,1.65
oligodendrocytes 16,90,0.133,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398,0.132,41.0,138,42,30.43,3.08 (2.66-3.50),96,69.57,5.66 (5.27-6.05),2.77,2.72
astrocytes microglia 23,44,0.183,3.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25),NA,2.60
astrocytes 4,255,0.181,58.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,1186,0.209,100.0,300,34,11.33,3.92 (3.55-4.29),266,88.67,3.78 (3.55-4.00),5.22,4.02
microglia 1,480,0.074,2.0,163,12,7.36,3.75 (2.92-4.59),151,92.64,3.70 (3.42-3.98),5.05,5.18
oligodendrocytes 3,681,0.196,95.0,87,55,63.22,2.37 (2.09-2.64),32,36.78,3.00 (2.43-3.58),4.94,3.04
oligodendrocytes 2,921,0.142,60.0,200,16,8.0,3.28 (2.65-3.91),184,92.0,3.65 (3.37-3.93),4.19,3.40
