tipo_celular,module_size,STAU1_MM,STAU1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.138,26.0,102,25,24.51,2.43 (1.96-2.91),77,75.49,3.87 (3.44-4.30),3.70,2.82
T cells 18,477,0.14,36.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,322,0.076,3.0,58,8,13.79,2.69 (1.99-3.39),50,86.21,4.46 (4.02-4.90),1.96,2.38
oligodendrocyte progenitor cells 7,4285,0.136,51.0,353,49,13.88,2.33 (1.90-2.76),304,86.12,4.20 (4.02-4.38),18.03,6.46
GABA neurons expressing GLU receptors 22,1069,0.268,96.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,685,0.079,15.0,135,32,23.7,2.23 (1.78-2.67),103,76.3,3.50 (3.15-3.86),4.32,3.57
da like neurons 11,853,0.058,3.0,133,30,22.56,1.98 (1.57-2.40),103,77.44,3.69 (3.34-4.04),5.27,3.84
GABA neurons expressing GABA receptors 13,70,0.167,41.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,412,0.13,28.0,141,5,3.55,1.50 (0.75-2.26),136,96.45,3.02 (2.78-3.26),5.15,6.88
oligodendrocytes 20,275,0.195,48.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2090,0.206,82.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,727,0.028,1.0,29,1,3.45,NA,28,96.55,2.37 (1.87-2.86),1.39,3.62
oligodendrocyte progenitor cells 12,3303,0.101,76.0,276,36,13.04,2.27 (1.81-2.72),240,86.96,3.77 (3.54-4.00),7.05,4.82
oligodendrocytes 10,2107,0.103,30.0,358,48,13.41,2.13 (1.71-2.55),310,86.59,4.21 (4.03-4.40),19.83,7.87
connective tissue cells 21,111,0.267,40.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,1401,0.093,57.0,96,11,11.46,3.05 (2.29-3.81),85,88.54,3.70 (3.20-4.21),3.83,3.79
oligodendrocytes 16,112,0.182,58.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,448,0.083,27.0,43,4,9.3,3.79 (3.71-3.88),39,90.7,3.21 (2.63-3.80),3.42,3.48
astrocytes microglia 23,109,0.299,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.164,74.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078,0.11,41.0,238,6,2.52,2.45 (1.40-3.50),232,97.48,3.67 (3.45-3.90),7.49,4.96
microglia 1,958,0.137,82.0,290,28,9.66,3.50 (2.72-4.28),262,90.34,3.85 (3.61-4.09),6.28,4.86
oligodendrocytes 3,639,0.073,30.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,921,0.111,12.0,200,13,6.5,3.40 (2.34-4.45),187,93.5,3.63 (3.36-3.91),5.31,3.34
