tipo_celular,module_size,SYNE1_MM,SYNE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.361,100.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,506,0.22,61.0,225,17,7.56,2.54 (1.71-3.37),208,92.44,3.72 (3.46-3.98),6.92,7.98
astrocytes 5,117,0.164,57.0,28,3,10.71,4.87 (2.48-7.26),25,89.29,5.37 (4.76-5.97),2.28,2.43
oligodendrocyte progenitor cells 7,436,0.129,50.0,219,10,4.57,4.45 (3.36-5.54),209,95.43,5.26 (4.96-5.55),9.46,4.38
GABA neurons expressing GLU receptors 22,192,0.13,52.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44),NA,3.32
GLU like neurons 17,795,0.316,95.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,71,0.561,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,357,0.172,55.0,237,4,1.69,4.44 (3.74-5.15),233,98.31,4.41 (4.17-4.64),4.68,4.18
endothelial cells 9,658,0.418,95.0,120,8,6.67,3.16 (2.48-3.83),112,93.33,4.73 (4.40-5.05),3.39,3.67
oligodendrocytes 20,279,0.248,63.0,16,3,18.75,3.83 (3.16-4.50),13,81.25,2.16 (1.37-2.96),1.68,3.90
GABA like neurons 14,1300,0.243,67.0,306,26,8.5,3.25 (2.60-3.90),280,91.5,5.32 (5.06-5.59),9.03,6.49
astrocytes 8,262,0.284,95.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,254,0.337,67.0,37,6,16.22,3.63 (2.43-4.83),31,83.78,4.70 (4.06-5.35),2.37,2.49
oligodendrocytes 10,806,0.139,43.0,261,14,5.36,3.65 (2.72-4.59),247,94.64,4.42 (4.17-4.66),7.05,6.01
connective tissue cells 21,147,0.115,5.0,4,1,25.0,5.06 (NA-NA),3,75.0,5.43 (4.83-6.04),2.30,4.13
astrocytes 15,418,0.445,86.0,54,4,7.41,3.71 (1.59-5.83),50,92.59,3.68 (3.23-4.13),2.75,3.03
oligodendrocytes 16,149,0.276,69.0,70,1,1.43,6.09 (NA-NA),69,98.57,5.64 (5.16-6.12),2.36,3.33
da neurons 6,518,0.142,78.0,122,21,17.21,2.12 (1.54-2.71),101,82.79,4.53 (4.13-4.93),4.95,3.18
astrocytes microglia 23,141,0.242,50.0,30,4,13.33,2.89 (0.80-4.98),26,86.67,6.28 (5.54-7.02),1.68,4.41
astrocytes 4,220,0.092,7.0,63,5,7.94,3.62 (2.40-4.85),58,92.06,5.30 (4.71-5.90),5.58,3.10
oligodendrocytes 0,1186,0.125,23.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.093,25.0,161,26,16.15,1.83 (1.33-2.32),135,83.85,3.61 (3.34-3.89),12.59,4.05
oligodendrocytes 3,357,0.152,81.0,127,2,1.57,5.65 (3.20-8.09),125,98.43,3.07 (2.74-3.40),1.87,4.27
oligodendrocytes 2,804,0.191,85.0,84,8,9.52,1.35 (0.82-1.88),76,90.48,2.84 (2.49-3.19),2.60,3.48
