tipo_celular,module_size,ARL6IP5_MM,ARL6IP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.153,43.0,140,4,2.86,2.55 (1.56-3.54),136,97.14,4.60 (4.17-5.03),2.11,3.62
T cells 18,393,0.158,54.0,59,3,5.08,3.61 (2.76-4.46),56,94.92,3.07 (2.55-3.60),2.50,5.50
astrocytes 5,228,0.137,28.0,266,17,6.39,3.09 (2.63-3.56),249,93.61,4.20 (3.98-4.42),5.92,4.92
oligodendrocyte progenitor cells 7,628,0.265,85.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43),5.50,7.54
GABA neurons expressing GLU receptors 22,848,0.269,69.0,262,10,3.82,2.78 (1.82-3.73),252,96.18,4.24 (3.99-4.49),5.46,4.05
GLU like neurons 17,380,0.274,95.0,39,2,5.13,3.04 (1.12-4.96),37,94.87,2.96 (2.38-3.54),2.37,2.58
da like neurons 11,1220,0.388,92.0,410,15,3.66,3.64 (2.91-4.36),395,96.34,4.28 (4.09-4.47),8.55,7.48
GABA neurons expressing GABA receptors 13,357,0.154,46.0,237,2,0.84,4.04 (4.00-4.08),235,99.16,4.41 (4.18-4.65),7.83,4.15
endothelial cells 9,338,0.199,72.0,191,1,0.52,2.06 (NA-NA),190,99.48,3.90 (3.67-4.12),9.76,9.15
oligodendrocytes 20,358,0.122,35.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79),2.60,3.87
GABA like neurons 14,2402,0.595,95.0,455,11,2.42,3.66 (2.76-4.56),444,97.58,4.36 (4.17-4.55),13.19,8.73
astrocytes 8,520,0.272,83.0,288,14,4.86,3.03 (2.42-3.63),274,95.14,4.25 (4.04-4.46),10.06,4.41
oligodendrocyte progenitor cells 12,1049,0.11,60.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07),1.98,7.64
oligodendrocytes 10,735,0.258,96.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,142,0.29,32.0,55,0,0.0,NA,55,100.0,3.42 (2.58-4.26),NA,3.29
astrocytes 15,1768,0.1,63.0,105,9,8.57,2.28 (1.49-3.06),96,91.43,3.31 (2.95-3.66),3.73,4.00
oligodendrocytes 16,313,0.244,60.0,291,16,5.5,3.12 (2.59-3.66),275,94.5,4.41 (4.18-4.65),6.67,3.65
da neurons 6,409,0.158,66.0,235,0,0.0,NA,235,100.0,3.97 (3.72-4.22),NA,4.41
astrocytes microglia 23,92,0.277,26.0,11,1,9.09,4.75 (NA-NA),10,90.91,4.31 (3.69-4.92),1.83,1.90
astrocytes 4,157,0.16,35.0,178,12,6.74,3.02 (2.41-3.63),166,93.26,4.25 (3.96-4.53),3.50,4.57
oligodendrocytes 0,613,0.154,59.0,127,8,6.3,3.36 (2.96-3.76),119,93.7,3.02 (2.56-3.47),3.36,6.47
microglia 1,214,0.153,40.0,227,4,1.76,2.86 (1.49-4.23),223,98.24,4.12 (3.88-4.36),5.56,6.13
oligodendrocytes 3,457,0.128,57.0,345,15,4.35,3.13 (2.63-3.63),330,95.65,4.34 (4.13-4.56),9.53,5.52
oligodendrocytes 2,528,0.274,80.0,175,11,6.29,3.19 (2.41-3.96),164,93.71,4.50 (4.13-4.87),3.65,4.68
