tipo_celular,module_size,DSE_MM,DSE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.208,77.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,388,0.115,28.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,499,0.174,58.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285,0.12,27.0,353,19,5.38,1.47 (0.94-2.00),334,94.62,4.07 (3.89-4.25),32.74,6.66
GABA neurons expressing GLU receptors 22,848,0.161,28.0,262,5,1.91,1.66 (0.45-2.87),257,98.09,4.23 (3.98-4.47),4.55,4.10
GLU like neurons 17,1247,0.088,17.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,89,0.226,41.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,417,0.146,40.0,213,14,6.57,1.28 (0.66-1.91),199,93.43,3.99 (3.76-4.22),8.05,9.80
endothelial cells 9,586,0.128,28.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,233,0.248,74.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052,0.116,30.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262,0.198,76.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303,0.071,39.0,276,9,3.26,1.73 (1.18-2.28),267,96.74,3.62 (3.40-3.84),12.36,4.87
oligodendrocytes 10,2107,0.093,25.0,358,15,4.19,1.11 (0.65-1.56),343,95.81,4.03 (3.84-4.21),36.42,8.29
connective tissue cells 21,101,0.269,46.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,1768,0.081,45.0,105,11,10.48,1.63 (1.05-2.20),94,89.52,3.41 (3.07-3.76),5.79,3.77
oligodendrocytes 16,104,0.216,52.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,409,0.104,35.0,235,8,3.4,3.56 (2.34-4.78),227,96.6,4.00 (3.74-4.25),4.06,4.43
astrocytes microglia 23,115,0.294,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752,0.147,40.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.124,21.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,480,0.163,36.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,1003,0.11,64.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.162,62.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13),3.50,3.39
