tipo_celular,module_size,SERBP1_MM,SERBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.194,70.0,97,5,5.15,5.20 (5.06-5.34),92,94.85,2.97 (2.58-3.37),3.21,5.00
T cells 18,393,0.173,62.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62),1.93,5.46
astrocytes 5,1656,0.134,80.0,136,8,5.88,2.01 (0.98-3.03),128,94.12,3.28 (3.01-3.56),6.33,4.90
oligodendrocyte progenitor cells 7,628,0.161,48.0,164,4,2.44,3.67 (2.04-5.30),160,97.56,4.10 (3.76-4.43),6.34,7.56
GABA neurons expressing GLU receptors 22,848,0.128,14.0,262,27,10.31,2.90 (2.15-3.66),235,89.69,4.30 (4.05-4.55),6.83,3.79
GLU like neurons 17,685,0.174,69.0,135,38,28.15,2.54 (2.04-3.05),97,71.85,3.45 (3.09-3.82),4.77,3.35
da like neurons 11,408,0.088,15.0,25,9,36.0,1.86 (0.88-2.85),16,64.0,6.86 (5.86-7.87),2.12,2.36
GABA neurons expressing GABA receptors 13,77,0.206,74.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,559,0.261,76.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,271,0.115,19.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.261,58.0,455,39,8.57,2.39 (1.81-2.97),416,91.43,4.55 (4.37-4.73),20.17,7.77
astrocytes 8,218,0.087,48.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,1049,0.09,48.0,235,13,5.53,3.53 (2.69-4.37),222,94.47,3.84 (3.60-4.08),11.78,7.37
oligodendrocytes 10,483,0.378,89.0,129,9,6.98,3.70 (3.03-4.37),120,93.02,3.41 (2.99-3.83),10.70,19.83
connective tissue cells 21,118,0.36,75.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1401,0.083,47.0,96,5,5.21,3.23 (1.75-4.71),91,94.79,3.63 (3.17-4.10),2.62,3.86
oligodendrocytes 16,51,0.145,6.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA),NA,21.90
da neurons 6,448,0.122,71.0,43,4,9.3,3.79 (3.71-3.88),39,90.7,3.21 (2.63-3.80),3.42,3.48
astrocytes microglia 23,78,0.3,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.163,82.0,104,22,21.15,1.72 (1.22-2.23),82,78.85,3.18 (2.89-3.48),8.34,4.61
oligodendrocytes 0,613,0.179,79.0,127,14,11.02,2.45 (1.78-3.12),113,88.98,3.18 (2.70-3.66),2.98,6.69
microglia 1,406,0.159,42.0,278,4,1.44,3.96 (2.60-5.32),274,98.56,4.37 (4.09-4.65),5.04,6.76
oligodendrocytes 3,743,0.094,66.0,76,2,2.63,5.34 (NA-NA),74,97.37,3.13 (2.73-3.52),1.98,7.43
oligodendrocytes 2,528,0.226,63.0,175,13,7.43,3.63 (2.69-4.56),162,92.57,4.43 (4.07-4.80),12.84,3.96
