tipo_celular,module_size,RPLP1_MM,RPLP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.555,98.0,98,18,18.37,2.56 (1.88-3.23),80,81.63,3.40 (2.83-3.96),44.42,6.49
T cells 18,506,0.584,97.0,225,23,10.22,2.98 (2.35-3.60),202,89.78,3.69 (3.43-3.96),31.34,5.23
astrocytes 5,328,0.47,97.0,128,10,7.81,3.70 (3.13-4.26),118,92.19,3.56 (3.18-3.93),20.70,5.58
oligodendrocyte progenitor cells 7,448,0.543,100.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70),39.78,15.06
GABA neurons expressing GLU receptors 22,487,0.48,98.0,73,15,20.55,2.88 (2.19-3.56),58,79.45,2.72 (2.26-3.18),14.46,5.48
GLU like neurons 17,685,0.246,85.0,135,23,17.04,2.40 (1.81-3.00),112,82.96,3.36 (3.02-3.70),6.51,3.18
da like neurons 11,1220,0.268,75.0,410,16,3.9,2.86 (2.11-3.61),394,96.1,4.31 (4.12-4.50),14.95,7.21
GABA neurons expressing GABA receptors 13,417,0.235,85.0,213,25,11.74,2.25 (1.58-2.92),188,88.26,3.99 (3.75-4.23),16.90,8.73
endothelial cells 9,916,0.691,100.0,302,11,3.64,3.37 (2.31-4.43),291,96.36,4.00 (3.77-4.23),42.27,9.46
oligodendrocytes 20,938,0.355,97.0,169,18,10.65,2.99 (2.22-3.77),151,89.35,3.54 (3.31-3.77),15.83,4.12
GABA like neurons 14,2402,0.661,98.0,455,26,5.71,2.13 (1.48-2.79),429,94.29,4.50 (4.32-4.68),26.53,7.76
astrocytes 8,603,0.24,94.0,89,17,19.1,2.67 (1.98-3.35),72,80.9,2.79 (2.38-3.20),10.37,5.02
oligodendrocyte progenitor cells 12,1049,0.63,100.0,235,10,4.26,3.44 (2.88-4.01),225,95.74,3.84 (3.60-4.09),38.58,6.24
oligodendrocytes 10,483,0.523,98.0,129,13,10.08,3.84 (3.26-4.42),116,89.92,3.38 (2.95-3.81),47.44,16.02
connective tissue cells 21,301,0.634,96.0,158,13,8.23,2.86 (2.11-3.61),145,91.77,4.43 (4.04-4.82),39.52,4.16
astrocytes 15,1401,0.084,48.0,96,6,6.25,3.25 (1.34-5.16),90,93.75,3.63 (3.17-4.10),5.83,3.66
oligodendrocytes 16,96,0.321,86.0,102,24,23.53,2.15 (1.59-2.71),78,76.47,3.75 (3.39-4.10),19.36,4.07
da neurons 6,729,0.327,98.0,182,16,8.79,2.74 (2.06-3.41),166,91.21,3.72 (3.46-3.99),32.93,6.17
astrocytes microglia 23,137,0.589,97.0,188,21,11.17,2.36 (1.76-2.97),167,88.83,4.69 (4.34-5.04),32.75,3.92
astrocytes 4,208,0.227,66.0,173,11,6.36,3.57 (3.00-4.15),162,93.64,3.81 (3.49-4.13),14.95,4.99
oligodendrocytes 0,546,0.369,97.0,252,27,10.71,2.34 (1.71-2.97),225,89.29,4.34 (4.10-4.59),27.44,5.90
microglia 1,406,0.661,100.0,278,9,3.24,3.87 (3.23-4.51),269,96.76,4.38 (4.10-4.67),57.33,5.04
oligodendrocytes 3,303,0.356,100.0,154,11,7.14,3.70 (3.13-4.26),143,92.86,3.61 (3.27-3.95),59.34,8.19
oligodendrocytes 2,526,0.526,95.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28),54.82,6.11
