tipo_celular,module_size,PPP1R12B_MM,PPP1R12B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.209,59.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.158,42.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12),2.46,3.35
astrocytes 5,499,0.262,92.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285,0.162,88.0,353,18,5.1,1.50 (0.98-2.03),335,94.9,4.06 (3.88-4.24),41.29,6.28
GABA neurons expressing GLU receptors 22,823,0.159,37.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,637,0.151,46.0,91,10,10.99,1.23 (0.41-2.05),81,89.01,5.12 (4.66-5.57),3.34,3.02
da like neurons 11,142,0.386,84.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,288,0.223,67.0,93,6,6.45,2.23 (0.98-3.49),87,93.55,5.42 (4.94-5.89),2.39,4.06
endothelial cells 9,303,0.313,81.0,54,10,18.52,5.66 (4.85-6.47),44,81.48,4.57 (3.82-5.33),6.48,4.71
oligodendrocytes 20,676,0.597,88.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58),3.60,3.52
GABA like neurons 14,1300,0.178,36.0,306,15,4.9,2.35 (1.70-3.00),291,95.1,5.31 (5.05-5.56),5.10,6.79
astrocytes 8,771,0.128,51.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.214,78.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,236,0.452,38.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,152,0.23,33.0,21,2,9.52,7.00 (7.00-7.00),19,90.48,4.85 (3.34-6.35),2.43,2.20
astrocytes 15,1401,0.099,63.0,96,5,5.21,3.39 (1.91-4.87),91,94.79,3.63 (3.16-4.10),4.38,3.76
oligodendrocytes 16,287,0.34,59.0,105,4,3.81,1.28 (0.53-2.04),101,96.19,5.30 (4.89-5.72),1.72,3.54
da neurons 6,398,0.218,73.0,138,13,9.42,2.13 (1.36-2.90),125,90.58,5.16 (4.81-5.52),2.83,2.72
astrocytes microglia 23,89,0.41,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.137,19.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92),3.45,4.69
oligodendrocytes 0,261,0.249,88.0,42,6,14.29,1.17 (0.90-1.44),36,85.71,4.73 (4.13-5.33),1.92,2.33
microglia 1,1615,0.124,69.0,161,18,11.18,1.78 (1.13-2.42),143,88.82,3.51 (3.24-3.78),17.08,3.97
oligodendrocytes 3,99,0.273,72.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237,0.297,79.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
