tipo_celular,module_size,CLTA_MM,CLTA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.151,13.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,282,0.081,11.0,241,5,2.07,4.02 (3.81-4.23),236,97.93,4.06 (3.80-4.31),3.42,4.36
astrocytes 5,228,0.144,33.0,266,35,13.16,2.77 (2.27-3.27),231,86.84,4.39 (4.18-4.60),6.48,4.75
oligodendrocyte progenitor cells 7,296,0.193,57.0,251,9,3.59,5.11 (4.03-6.18),242,96.41,4.03 (3.79-4.28),2.27,6.30
GABA neurons expressing GLU receptors 22,848,0.307,77.0,262,36,13.74,3.52 (2.97-4.06),226,86.26,4.28 (4.00-4.55),5.08,3.95
GLU like neurons 17,637,0.078,12.0,91,18,19.78,2.30 (1.36-3.24),73,80.22,5.30 (4.83-5.76),3.44,2.96
da like neurons 11,1220,0.333,86.0,410,31,7.56,3.21 (2.80-3.62),379,92.44,4.37 (4.17-4.56),9.75,7.33
GABA neurons expressing GABA receptors 13,417,0.213,76.0,213,25,11.74,2.40 (1.76-3.03),188,88.26,4.00 (3.76-4.25),6.68,10.08
endothelial cells 9,916,0.236,58.0,302,9,2.98,2.26 (1.36-3.16),293,97.02,4.05 (3.82-4.27),6.41,10.78
oligodendrocytes 20,275,0.112,17.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.526,90.0,455,42,9.23,3.28 (2.77-3.79),413,90.77,4.49 (4.29-4.68),17.28,7.98
astrocytes 8,520,0.174,66.0,288,44,15.28,3.74 (3.29-4.20),244,84.72,4.27 (4.05-4.49),6.30,4.39
oligodendrocyte progenitor cells 12,1049,0.085,45.0,235,14,5.96,3.75 (3.22-4.29),221,94.04,3.83 (3.58-4.08),3.36,7.88
oligodendrocytes 10,735,0.224,93.0,277,3,1.08,4.67 (4.14-5.20),274,98.92,3.88 (3.64-4.13),1.60,9.03
connective tissue cells 21,125,0.255,29.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,458,0.093,49.0,36,1,2.78,3.38 (NA-NA),35,97.22,3.78 (2.65-4.92),1.76,2.60
oligodendrocytes 16,158,0.247,78.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,409,0.222,83.0,235,5,2.13,3.71 (3.32-4.10),230,97.87,3.98 (3.72-4.24),3.17,4.44
astrocytes microglia 23,118,0.235,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.097,2.0,104,12,11.54,2.41 (1.54-3.28),92,88.46,2.93 (2.63-3.22),7.82,5.08
oligodendrocytes 0,546,0.174,53.0,252,32,12.7,2.73 (2.15-3.30),220,87.3,4.36 (4.10-4.61),8.41,8.18
microglia 1,406,0.143,35.0,278,9,3.24,5.18 (4.52-5.85),269,96.76,4.32 (4.04-4.60),3.06,6.86
oligodendrocytes 3,457,0.093,36.0,345,39,11.3,3.57 (3.16-3.98),306,88.7,4.39 (4.16-4.62),7.24,5.49
oligodendrocytes 2,526,0.301,61.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
