tipo_celular,module_size,NUDC_MM,NUDC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.155,45.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,477,0.108,15.0,43,1,2.33,8.28 (NA-NA),42,97.67,1.85 (1.47-2.22),1.31,7.26
astrocytes 5,328,0.077,5.0,128,1,0.78,5.16 (NA-NA),127,99.22,3.55 (3.21-3.89),2.41,6.80
oligodendrocyte progenitor cells 7,666,0.371,95.0,127,6,4.72,4.73 (2.67-6.80),121,95.28,3.78 (3.44-4.11),3.43,5.96
GABA neurons expressing GLU receptors 22,703,0.146,27.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,1316,0.113,40.0,101,2,1.98,3.49 (2.39-4.58),99,98.02,3.04 (2.68-3.40),1.70,3.08
da like neurons 11,1220,0.16,42.0,410,9,2.2,3.63 (1.90-5.35),401,97.8,4.26 (4.08-4.45),10.50,7.45
GABA neurons expressing GABA receptors 13,417,0.188,66.0,213,21,9.86,1.82 (1.01-2.63),192,90.14,4.04 (3.82-4.26),6.33,10.05
endothelial cells 9,916,0.237,58.0,302,3,0.99,1.72 (0.01-3.42),299,99.01,4.01 (3.79-4.24),4.01,10.72
oligodendrocytes 20,253,0.204,70.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402,0.416,81.0,455,26,5.71,2.21 (1.47-2.95),429,94.29,4.53 (4.35-4.70),21.04,8.10
astrocytes 8,577,0.067,35.0,83,2,2.41,6.61 (3.35-9.88),81,97.59,3.15 (2.72-3.58),4.49,4.47
oligodendrocyte progenitor cells 12,1049,0.188,83.0,235,4,1.7,5.40 (3.34-7.47),231,98.3,3.79 (3.56-4.02),6.59,7.63
oligodendrocytes 10,735,0.172,82.0,277,1,0.36,4.95 (NA-NA),276,99.64,3.89 (3.65-4.13),3.16,8.97
connective tissue cells 21,301,0.275,23.0,158,3,1.9,1.26 (-0.13-2.64),155,98.1,4.31 (3.94-4.67),8.24,7.04
astrocytes 15,443,0.234,91.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,313,0.152,20.0,291,11,3.78,3.57 (2.31-4.83),280,96.22,4.37 (4.14-4.59),6.26,3.72
da neurons 6,729,0.2,72.0,182,5,2.75,1.47 (1.37-1.56),177,97.25,3.71 (3.46-3.96),3.80,8.65
astrocytes microglia 23,49,0.401,82.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA),NA,1.31
astrocytes 4,514,0.174,45.0,95,2,2.11,6.61 (3.35-9.88),93,97.89,3.28 (2.87-3.68),6.11,4.61
oligodendrocytes 0,546,0.15,38.0,252,21,8.33,1.96 (1.10-2.81),231,91.67,4.34 (4.11-4.58),10.01,8.05
microglia 1,958,0.113,53.0,290,12,4.14,2.95 (1.72-4.19),278,95.86,3.86 (3.63-4.09),5.21,4.99
oligodendrocytes 3,303,0.074,17.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526,0.237,43.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
