tipo_celular,module_size,CACUL1_MM,CACUL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.103,2.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,282,0.167,52.0,241,2,0.83,3.48 (3.47-3.49),239,99.17,4.06 (3.81-4.32),1.46,4.36
astrocytes 5,1141,0.13,48.0,166,14,8.43,1.91 (1.37-2.46),152,91.57,3.56 (3.30-3.82),3.76,4.62
oligodendrocyte progenitor cells 7,4285,0.192,100.0,353,16,4.53,1.87 (1.37-2.37),337,95.47,4.01 (3.82-4.19),14.75,7.75
GABA neurons expressing GLU receptors 22,703,0.232,77.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,685,0.134,53.0,135,20,14.81,2.00 (1.44-2.55),115,85.19,3.40 (3.07-3.73),3.90,3.72
da like neurons 11,172,0.315,77.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,70,0.259,95.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,1653,0.127,49.0,297,8,2.69,3.81 (3.30-4.33),289,97.31,3.67 (3.46-3.88),5.73,5.51
oligodendrocytes 20,348,0.116,47.0,33,2,6.06,3.07 (2.93-3.20),31,93.94,2.71 (2.19-3.23),2.26,3.45
GABA like neurons 14,3052,0.197,91.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,577,0.088,52.0,83,5,6.02,2.15 (1.34-2.97),78,93.98,3.34 (2.87-3.81),2.21,4.62
oligodendrocyte progenitor cells 12,3303,0.098,73.0,276,19,6.88,2.07 (1.60-2.53),257,93.12,3.69 (3.46-3.91),8.82,4.84
oligodendrocytes 10,2107,0.137,46.0,358,26,7.26,2.07 (1.64-2.50),332,92.74,4.05 (3.85-4.24),13.42,9.16
connective tissue cells 21,96,0.285,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401,0.052,18.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14),1.67,3.87
oligodendrocytes 16,121,0.31,90.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,553,0.148,64.0,124,5,4.03,3.79 (2.84-4.73),119,95.97,4.20 (3.79-4.61),2.45,3.06
astrocytes microglia 23,255,0.269,58.0,57,4,7.02,2.69 (2.16-3.22),53,92.98,2.65 (2.26-3.04),3.68,3.31
astrocytes 4,752,0.144,35.0,96,5,5.21,2.47 (1.99-2.94),91,94.79,3.35 (3.00-3.69),2.22,4.43
oligodendrocytes 0,2078,0.131,83.0,238,5,2.1,2.34 (1.28-3.40),233,97.9,3.67 (3.45-3.89),5.99,5.00
microglia 1,480,0.16,35.0,163,12,7.36,5.20 (5.03-5.37),151,92.64,3.60 (3.32-3.87),2.58,5.37
oligodendrocytes 3,1003,0.071,21.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,921,0.125,29.0,200,1,0.5,1.96 (NA-NA),199,99.5,3.63 (3.37-3.90),7.22,3.44
