tipo_celular,module_size,SPTAN1_MM,SPTAN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.148,31.0,102,3,2.94,2.14 (0.67-3.61),99,97.06,3.54 (3.17-3.91),7.87,2.89
T cells 18,282,0.074,2.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,228,0.123,22.0,266,35,13.16,2.65 (1.99-3.30),231,86.84,4.31 (4.11-4.52),8.17,4.50
oligodendrocyte progenitor cells 7,666,0.15,37.0,127,9,7.09,4.42 (2.66-6.18),118,92.91,3.80 (3.46-4.15),3.51,6.02
GABA neurons expressing GLU receptors 22,848,0.152,24.0,262,25,9.54,2.96 (2.15-3.77),237,90.46,4.26 (4.01-4.52),7.99,3.69
GLU like neurons 17,1247,0.226,90.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853,0.151,63.0,133,15,11.28,2.23 (1.31-3.16),118,88.72,3.41 (3.09-3.73),4.18,4.16
GABA neurons expressing GABA receptors 13,357,0.316,90.0,237,6,2.53,4.52 (3.24-5.79),231,97.47,4.41 (4.17-4.64),4.19,4.18
endothelial cells 9,658,0.185,44.0,120,6,5.0,4.57 (3.13-6.02),114,95.0,4.61 (4.28-4.93),3.39,3.67
oligodendrocytes 20,271,0.194,59.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,1300,0.082,6.0,306,20,6.54,3.52 (2.64-4.39),286,93.46,5.23 (4.97-5.50),7.77,6.63
astrocytes 8,520,0.173,65.0,288,24,8.33,3.05 (2.26-3.83),264,91.67,4.24 (4.04-4.45),10.57,4.15
oligodendrocyte progenitor cells 12,3303,0.104,78.0,276,11,3.99,2.01 (1.33-2.69),265,96.01,3.62 (3.40-3.84),12.89,4.79
oligodendrocytes 10,806,0.369,87.0,261,17,6.51,3.57 (2.84-4.30),244,93.49,4.41 (4.16-4.66),6.99,6.00
connective tissue cells 21,152,0.274,61.0,21,1,4.76,7.00 (NA-NA),20,95.24,5.03 (3.61-6.45),4.30,2.12
astrocytes 15,261,0.105,24.0,8,4,50.0,2.11 (0.07-4.15),4,50.0,5.77 (3.36-8.18),1.59,2.07
oligodendrocytes 16,313,0.282,70.0,291,12,4.12,3.02 (1.87-4.16),279,95.88,4.37 (4.14-4.60),4.23,3.80
da neurons 6,300,0.25,78.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,89,0.251,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,208,0.177,37.0,173,7,4.05,2.97 (NA-NA),166,95.95,3.80 (3.50-4.11),4.04,5.69
oligodendrocytes 0,116,0.118,31.0,169,1,0.59,5.16 (NA-NA),168,99.41,4.27 (3.97-4.57),6.44,6.49
microglia 1,214,0.184,52.0,227,20,8.81,3.85 (3.19-4.52),207,91.19,4.11 (3.86-4.35),9.89,5.76
oligodendrocytes 3,457,0.196,81.0,345,24,6.96,3.16 (2.56-3.76),321,93.04,4.34 (4.12-4.55),13.26,5.13
oligodendrocytes 2,99,0.24,49.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
