tipo_celular,module_size,PSMF1_MM,PSMF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.167,59.0,71,3,4.23,1.51 (0.13-2.89),68,95.77,2.68 (2.26-3.10),5.53,3.49
T cells 18,727,0.084,7.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,932,0.099,36.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.125,34.0,353,42,11.9,2.36 (1.92-2.80),311,88.1,4.17 (3.98-4.35),26.73,5.54
GABA neurons expressing GLU receptors 22,823,0.14,26.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,300,0.193,55.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27),2.09,2.69
da like neurons 11,853,0.092,20.0,133,22,16.54,1.96 (1.41-2.50),111,83.46,3.57 (3.23-3.90),6.18,3.76
GABA neurons expressing GABA receptors 13,90,0.123,24.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70),2.07,1.61
endothelial cells 9,1653,0.065,5.0,297,1,0.34,6.49 (NA-NA),296,99.66,3.66 (3.46-3.86),2.26,5.53
oligodendrocytes 20,938,0.073,24.0,169,15,8.88,3.27 (2.54-4.01),154,91.12,3.51 (3.28-3.74),4.57,5.44
GABA like neurons 14,3052,0.174,78.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266,0.068,35.0,66,18,27.27,2.00 (1.38-2.62),48,72.73,3.79 (3.35-4.24),4.11,2.52
oligodendrocyte progenitor cells 12,3303,0.108,82.0,276,35,12.68,2.62 (2.16-3.09),241,87.32,3.72 (3.48-3.95),12.81,3.99
oligodendrocytes 10,2107,0.057,8.0,358,45,12.57,2.29 (1.86-2.72),313,87.43,4.18 (3.99-4.37),28.54,6.73
connective tissue cells 21,139,0.327,69.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,443,0.02,0.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,121,0.23,62.0,3,1,33.33,2.62 (NA-NA),2,66.67,3.09 (0.39-5.80),2.92,1.68
da neurons 6,729,0.063,4.0,182,1,0.55,NA,181,99.45,3.64 (3.38-3.89),2.74,8.55
astrocytes microglia 23,61,0.31,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.14,29.0,61,5,8.2,4.43 (3.42-5.44),56,91.8,2.83 (2.40-3.25),3.57,6.24
oligodendrocytes 0,2078,0.106,32.0,238,5,2.1,3.23 (1.71-4.75),233,97.9,3.65 (3.42-3.87),6.15,5.00
microglia 1,813,0.084,11.0,79,2,2.53,2.99 (1.51-4.47),77,97.47,3.10 (2.69-3.52),4.73,7.98
oligodendrocytes 3,854,0.059,14.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921,0.088,3.0,200,4,2.0,3.55 (1.52-5.58),196,98.0,3.62 (3.35-3.89),3.83,3.46
